,artist_name,spotify_name,spotify_id,spotify_similarity,spotify_popularity,spotify_followers,spotify_listeners,spotify_genre_1,spotify_genre_2,spotify_genre_3,spotify_genre_4,spotify_genre_5,spotify_genre_6,spotify_genre_7,spotify_genre_8,spotify_genre_9,spotify_genre_10,spotify_genre_11,spotify_genre_12,spotify_genre_13,spotify_genre_14,spotify_genre_15,spotify_genre_16,spotify_genre_17,spotify_genre_18
/artists/8166653-10-for-14,10 for 14,,,,,,,,,,,,,,,,,,,,,,,,
/artists/292381-10000-maniacs,"10,000 Maniacs","10,000 Maniacs",0MBIKH9DjtBkv8O3nS6szj,1.0,55.0,285280.0,818800.0,lilith,mellow gold,new wave pop,pop rock,,,,,,,,,,,,,,
/artists/8360073-10000-russos,"10,000 Russos",10 000 Russos,2pkZFQGkxsNYlJK5jO4z3L,0.92,23.0,4302.0,5400.0,psychedelic space rock,,,,,,,,,,,,,,,,,
/artists/9541484-100-kilo-herz,100 Kilo Herz,100 Kilo Herz,6sKOC3XdcoRZHh70zwnWFg,1.0,37.0,5019.0,22300.0,german punk rock,,,,,,,,,,,,,,,,,
/artists/6696839-1000-gram,1000 GRAM,1000 Gram,2vI9z0IykY4dNai8Lmm2va,1.0,9.0,1456.0,1300.0,german indie rock,,,,,,,,,,,,,,,,,
/artists/357052-1000mods,1000mods,1000mods,7EgAHTw2PMP7a1tAEtue89,1.0,43.0,81137.0,120700.0,greek metal,greek psychedelic rock,greek rock,instrumental stoner rock,modern blues rock,psychedelic doom,retro metal,space rock,stoner metal,stoner rock,,,,,,,,
/artists/480184-100blumen,100blumen,100blumen,0yrqNuQtHb3ZEwWcCqNGYV,1.0,11.0,1492.0,787.0,dusseldorf indie,power noise,,,,,,,,,,,,,,,,
/artists/9062169-102-boyz,102 BOYZ,102 Boyz,78TTCmh2koperK5NBn7DgR,1.0,66.0,153782.0,1100000.0,german alternative rap,german drill,german hip hop,german trap,german underground rap,,,,,,,,,,,,,
/artists/324463-10cc,10cc,10cc,6i6WlGzQtXtz7GcC5H5st5,1.0,64.0,508482.0,3700000.0,album rock,art rock,classic rock,classic uk pop,folk rock,glam rock,mellow gold,rock,soft rock,symphonic rock,yacht rock,,,,,,,
/artists/6723079-11-louder,11 Louder,11 Louder,4OO0wubvxHn9ipOz1RLmHz,1.0,0.0,53.0,7.0,,,,,,,,,,,,,,,,,,
/artists/7858804-117elements,117Elements,117 Elements,36cCLafvN0HL5yIM8u46zS,0.96,0.0,154.0,39.0,,,,,,,,,,,,,,,,,,
/artists/2398431-11a,11a,11A,4SJhEHnxSEiZjmK6Mt26HL,1.0,0.0,0.0,39.0,,,,,,,,,,,,,,,,,,
/artists/366820-120-days,120 Days,120 Days,33IhQgRHcYIuAdlk1VN77v,1.0,10.0,2395.0,1100.0,neo-kraut,norwegian rock,,,,,,,,,,,,,,,,
/artists/89736-1280-almas,1280 Almas,1280 Almas,5skZhjSLizA2G1bJQp2iNM,1.0,37.0,51883.0,43800.0,colombian rock,latin rock,punk colombiano,,,,,,,,,,,,,,,
/artists/2070755-12th-planet,12th Planet,12th Planet,3V1h3kAdiVDBiwlY2i6dJz,1.0,52.0,173925.0,550800.0,brostep,dubstep,edm,electro house,electronic trap,gaming dubstep,,,,,,,,,,,,
/artists/9552549-13-block,13 Block,13 Block,7rTPCNINGzMp3Hc8Xqht5Z,1.0,58.0,530427.0,550700.0,french hip hop,pop urbaine,rap francais,,,,,,,,,,,,,,,
/artists/8920989-13-crowes,13 Crowes,13 Crowes,7d1O1AxAp2Opr5LdB35aGW,1.0,13.0,1869.0,1000.0,,,,,,,,,,,,,,,,,,
/artists/9506864-13-years-cicada,13 years cicada,,,,,,,,,,,,,,,,,,,,,,,,
/artists/5371483-130-bpm,130 Bpm,180 BPM,5Ni6KiU8wxNb3mMAcidDJC,0.86,23.0,2254.0,1400.0,,,,,,,,,,,,,,,,,,
/artists/458371-1349,1349,1349,150xbiJGnTy1tSBZ9EFKnT,1.0,33.0,85951.0,28300.0,black metal,dark black metal,death metal,metal,norwegian black metal,norwegian metal,technical black metal,,,,,,,,,,,
/artists/6105749-13starz,13Starz,,,,,,,,,,,,,,,,,,,,,,,,
/artists/3020176-15-tubes-en-live,15 Tubes En Live,,,,,,,,,,,,,,,,,,,,,,,,
/artists/208742-16,16,16,35m8xtAGmqjnArbq8Xnndp,1.0,20.0,6536.0,3700.0,post-doom metal,sludge metal,sludgecore,,,,,,,,,,,,,,,
/artists/2445921-16-bitch-pileup,16 Bitch Pile-up,,,,,,,,,,,,,,,,,,,,,,,,
/artists/407824-16-horsepower,16 Horsepower,16 Horsepower,188gwh9RnRT58ZQPwqwHE3,1.0,42.0,51165.0,115600.0,gothic americana,,,,,,,,,,,,,,,,,
/artists/306885-17-hippies,17 Hippies,17 Hippies,3Tq2hRlRrQzA4Zq2ncYiiA,1.0,37.0,23749.0,54700.0,balkan brass,liedermacher,,,,,,,,,,,,,,,,
/artists/4518913-17f,17f,17F,2ChuZPPV5mzqwXEcyNf0TV,1.0,0.0,0.0,8.0,,,,,,,,,,,,,,,,,,
/artists/3949041-18-strings,18 Strings,18 Strings,0nQtoo02M46j8QohmrvDh4,1.0,2.0,82.0,35.0,west virginia indie,,,,,,,,,,,,,,,,,
/artists/5392173-187-strassenbande,187 Strassenbande,187 Strassenbande,2j2rh3oQh4QEUnNTDKYSJD,1.0,68.0,1250966.0,1700000.0,german hip hop,hamburg hip hop,,,,,,,,,,,,,,,,
/artists/5008498-19052012,19.05.2012,,,,,,,,,,,,,,,,,,,,,,,,
/artists/9312694-1921,1921,1921,5632EL71unaPUypzrvtp8y,1.0,6.0,484.0,1700000.0,stockholm indie,,,,,,,,,,,,,,,,,
/artists/552063-1982,1982,1982,4xRobnExsPK6sV1i7tEwp3,1.0,7.0,1768.0,824.0,boston hip hop,,,,,,,,,,,,,,,,,
/artists/81873-1989,1989,1989,04VREmuFHXQ1VNqQTYhTYk,1.0,1.0,73.0,40.0,,,,,,,,,,,,,,,,,,
/artists/510732-1995,1995,1995,4CH2uNha7qT33gsr1y60Ca,1.0,50.0,201858.0,295800.0,french hip hop,french pop,,,,,,,,,,,,,,,,
/artists/8564529-1997ev,1997EV,1997EV,0YtCnXj4S22ZZOm6PJhj8b,1.0,0.0,4.0,295800.0,,,,,,,,,,,,,,,,,,
/artists/9365974-1kub,1KUB,1KUB,5bS55SQZJBjhaxUPUYluEw,1.0,11.0,41.0,2200.0,,,,,,,,,,,,,,,,,,
/artists/8005233-1er-partie-hyren,1er Partie Hyren,,,,,,,,,,,,,,,,,,,,,,,,
/artists/4467063-2-chainz,2 Chainz,2 Chainz,17lzZA2AlOHwCwFALHttmp,1.0,81.0,6687389.0,10800000.0,atl hip hop,gangster rap,hip hop,pop rap,rap,southern hip hop,trap,,,,,,,,,,,
/artists/4740558-2-special,2 Special,2 Special,6VjDL6MptjB753JgXvR3NU,1.0,0.0,1.0,4.0,,,,,,,,,,,,,,,,,,
/artists/4343276-2-support,2 Support,2nd Level Support,6T7AyOD9JPA649PqeLV0G7,0.69,0.0,0.0,4.0,,,,,,,,,,,,,,,,,,
/artists/3181586-2-tages,2 Tages,2:Tages:Bart,79te3u5Y58OU3OsyNFxkzC,0.63,10.0,148.0,1600.0,,,,,,,,,,,,,,,,,,
/artists/377506-2-unlimited,2 Unlimited,2 Unlimited,18JD8DVlD1fakDAw7E9LFC,1.0,58.0,181844.0,1400000.0,bubblegum dance,eurodance,europop,hip house,,,,,,,,,,,,,,
/artists/6338854-2takt,2-Takt,Zwei-Takt,1rd45fwPznfghLBjx8N9wz,0.67,0.0,25.0,25.0,,,,,,,,,,,,,,,,,,
/artists/8631869-20-watt-tombstone,20 Watt Tombstone,20 Watt Tombstone,4QydkamDuA2eBx2F9UYDTQ,1.0,23.0,4380.0,10400.0,modern blues rock,,,,,,,,,,,,,,,,,
/artists/8158983-20-years-gurd,20 Years Gurd,,,,,,,,,,,,,,,,,,,,,,,,
/artists/718633-2000-and-one,2000 and One,2000 And One,030NUgrxJxZPLc7cXUhgvD,1.0,24.0,6486.0,25300.0,,,,,,,,,,,,,,,,,,
/artists/9765744-2001-ch,2001 ,2001,5daoc7HJiVqtUsPUXN8FJD,1.0,23.0,398.0,8600.0,,,,,,,,,,,,,,,,,,
/artists/2984006-202project,202.project,202Project,26sE8dolV80TfqJ2rWXPmj,0.95,0.0,16.0,3.0,,,,,,,,,,,,,,,,,,
/artists/7617119-20dark7,20dark7,,,,,,,,,,,,,,,,,,,,,,,,
/artists/10094045-21-juin-le-duo,21 Juin Le Duo,21 Juin Le Duo,0UUuBtaLyglYTbgfjTw1vT,1.0,17.0,568.0,4800.0,eurovision,variete francaise,,,,,,,,,,,,,,,,
/artists/159832-22,22,22,0Op82sqzI45fNMecmDiJDx,1.0,27.0,6853.0,15900.0,norwegian rock,prog metal,,,,,,,,,,,,,,,,
/artists/9804639-22-halo,22 Halo,22º Halo,6p355yiyJc67iSNeWLM8WH,0.93,17.0,1179.0,2700.0,lo-fi indie,,,,,,,,,,,,,,,,,
/artists/309223-22pistepirkko,22-Pistepirkko,22-Pistepirkko,7viKRqdDIZZ6ZHdmcGQX3m,1.0,32.0,9082.0,30800.0,classic finnish rock,finnish indie,oulu indie,suomi rock,,,,,,,,,,,,,,
/artists/10119580-22deg-halo,22° Halo,22º Halo,6p355yiyJc67iSNeWLM8WH,0.88,17.0,1179.0,2700.0,lo-fi indie,,,,,,,,,,,,,,,,,
/artists/4893554-23rd-grade-of-evil,23rd Grade of Evil,23rd Grade of Evil,7EtVyplYzflfXQaq1TwbxR,1.0,0.0,151.0,34.0,swiss metal,,,,,,,,,,,,,,,,,
