,venue_id,linked_venue_id,venue,locality,latitude,longitude
175,/venues/3949324,/venues/3949324,Alte Kirche,St. Gallen,47.56571,9.3772
176,/venues/1674573,/venues/1674573,Alte Landi,Bern,,
177,/venues/3654174,/venues/3654174,Alte Markthalle,Basel,47.5596,7.58858
178,/venues/1178911,/venues/1178911,Alte Mühle,Langenthal,47.2147,7.792219999999999
179,/venues/4356248,/venues/4356248,Alte Mühle,St. Gallen,47.20426,9.44063
180,/venues/4356249,/venues/4356248,Alte Mühle Gams,St. Gallen,47.20426,9.44063
181,/venues/3992589,/venues/3992589,Alte Oele Theater Thun,Bern,46.75781,7.630160000000001
182,/venues/4240664,/venues/4240664,Alte Reithalle Aarau,Aarau,47.39043,8.0457
183,/venues/4404209,/venues/4404209,Alte Ruine Sent,Davos,46.81683,10.33773
184,/venues/3945064,/venues/3945064,Alte Schmiede,Baden,47.48002,8.30097
185,/venues/3670654,/venues/3670654,Alte Schmitte Steffisburg,Bern,46.77981,7.6344699999999985
186,/venues/3475429,/venues/3475429,Alte Schule,Zürich,47.2604,8.5963
187,/venues/1665738,/venues/1665738,Alte Taverne,Frutigen-Niedersimmental,46.49124000000001,7.5572
188,/venues/4207654,/venues/4207654,Alte Trotte,Aarau,47.42028,8.00506
189,/venues/4356303,/venues/4356303,"Alte Trotte, Erlinsbach",Aargau,47.40737,8.01092
190,/venues/4090954,/venues/4090954,Alten Bad Pfäfers,Chur,,
191,/venues/3317094,/venues/3317094,Alter Fährplatz,St. Gallen,47.56571,9.3772
192,/venues/2806518,/venues/2806518,Alter Zoll,Basel,47.57249,7.57603
193,/venues/4267324,/venues/4267324,Altersheim Mühlhalde,Zürich,47.36017,8.573369999999999
194,/venues/3585194,/venues/3585194,Alterszentrum Arosa,Arosa,46.78101,9.68239
195,/venues/2837048,/venues/2837048,Altes Kino,Mels,47.04842,9.42702
196,/venues/4228799,/venues/4228799,Altes Rathaus,Gersau,47.00935,8.52362
197,/venues/2144114,/venues/2144114,Altes Schlachthaus,Langenthal,47.18795,7.70419
198,/venues/4399506,/venues/4399506,Altes Schulhaus Wyssbach Madiswil,Langenthal,47.15826,7.8121800000000015
199,/venues/196788,/venues/196788,Altes Spital,Solothurn,47.20489,7.53553
200,/venues/2545679,/venues/2545679,Altes Tramdepot,Bern,46.9475,7.45966
201,/venues/3649034,/venues/3649034,Altes Zeughaus,Herisau,47.3857,9.27985
202,/venues/4420331,/venues/4420331,Altes Zeughaus,Luzern,46.88075,8.64433
203,/venues/4266219,/venues/4266219,Althörnli Openair,Zürich,47.40208,8.55072
204,/venues/3379234,/venues/3379234,Alti Moschti,Bern,46.81474,7.513910000000001
205,/venues/884651,/venues/3379234,Alti Moschti,Bern,,
206,/venues/3769749,/venues/3769749,AltiKulti,Sierre,46.29473,7.88212
207,/venues/4369928,/venues/4369928,Altjahrswoche Schwarzenburg,Schwarzenburg,,
208,/venues/4143469,/venues/4143469,Alts Schlachthuus Laufen,Laufen,47.42215,7.50368
209,/venues/2632973,/venues/2632973,Altstadt,Lichtensteig,47.32485,9.0876
210,/venues/3548364,/venues/3548364,Altstadt Pub,Bulach,47.51607,8.541960000000001
211,/venues/2225504,/venues/1949009,Altstadt Schaffhausen,Schaffhausen,47.69567,8.633519999999999
212,/venues/3409754,/venues/4062604,Alumni Lounge / ETH Hönggerberg,Zürich,47.40856,8.50718
213,/venues/4062604,/venues/4062604,Alumni Quattro Lounge,Zürich,47.40856,8.50718
214,/venues/4335209,/venues/4335209,Am Bach,Luzern,,
215,/venues/4201309,/venues/4201309,Am Bach Festival,Luzern,,
216,/venues/3302819,/venues/3302819,Am Bahnhofplatz,St. Gallen,47.37186,9.19863
