,0,1,2,3,4,5
art song,vocal music,art music,,,,
asbury park indie,rock music,,,,,
asheville indie,rock music,,,,,
asian american hip hop,asian american hip hop,,,,,
athens indie,rock music,,,,,
atl hip hop,hip hop music,world music,,,,
atl trap,hip hop music,world music,,,,
atlanta indie,rock music,,,,,
atlanta metal,rock music,,,,,
atlanta punk,punk music,rock music,,,,
atmosphere,electronic music,functional music,,,,
atmospheric black metal,rock music,,,,,
atmospheric dnb,electronic music,dance music,,,,
atmospheric doom,rock music,,,,,
atmospheric post-metal,alternative,experimental music,rock music,,,
atmospheric post-rock,experimental music,rock music,,,,
atmospheric sludge,rock music,,,,,
auckland indie,pop music,,,,,
audiophile vocal,vocal music,,,,,
aussie drill,hip hop music,world music,,,,
aussie emo,experimental music,rock music,,,,
aussietronica,dance music,,,,,
austin americana,world music,country music,,,,
austin rock,rock music,,,,,
austin singer-songwriter,acoustic music,vocal music,,,,
austindie,rock music,,,,,
australian alternative pop,alternative,pop music,,,,
australian alternative rock,alternative,rock music,,,,
australian ambient,electronic music,new age music,,,,
australian americana,world music,country music,,,,
australian black metal,world music,rock music,,,,
australian blues,blues,,,,,
australian classical piano,art music,,,,,
australian country,country music,world music,,,,
australian dance,dance,dance music,,,,
australian death metal,rock music,,,,,
australian electropop,electronic music,pop music,,,,
australian experimental,experimental music,,,,,
australian garage punk,punk music,rock music,,,,
australian hardcore,world music,rock music,,,,
australian hip hop,hip hop music,world music,,,,
australian house,electronic music,dance music,,,,
australian indie,rock music,,,,,
australian indie folk,independent music,world music,folk music,,,
australian indie rock,alternative,independent music,world music,rock music,,
australian indigenous,world music,,,,,
australian jazz,jazz,world music,,,,
australian metal,rock music,,,,,
australian metalcore,rock music,,,,,
australian pop,pop music,,,,,
australian post-hardcore,electronic music,experimental music,rock music,dance music,,
australian post-punk,punk music,rock music,,,,
australian post-rock,experimental music,rock music,,,,
australian psych,rock music,,,,,
australian r&b,rhythm and blues,,,,,
australian reggae fusion,jazz,music of jamaica,,,,
australian rock,world music,rock music,,,,
australian shoegaze,alternative,rock music,,,,
australian singer-songwriter,acoustic music,vocal music,,,,
australian ska,ska,world music,,,,
australian talent show,pop music,,,,,
australian techno,electronic music,dance music,,,,
australian thrash metal,world music,rock music,,,,
australian trap,hip hop music,world music,,,,
australian underground hip hop,hip hop music,independent music,world music,underground music,,
austrian black metal,world music,rock music,,,,
austrian classical piano,art music,,,,,
austrian contemporary classical,contemporary music,art music,,,,
austrian dnb,electronic music,dance music,,,,
austrian hip hop,hip hop music,world music,,,,
austrian indie,pop music,,,,,
austrian jazz,jazz,,,,,
austrian metal,rock music,,,,,
austrian orchestra,orchestra,,,,,
austrian pop,pop music,,,,,
austrian punk,punk music,rock music,,,,
austrian stoner rock,rock music,,,,,
austrian techno,electronic music,dance music,,,,
austropop,pop music,,,,,
auteur-compositeur-interprete quebecois,world music,folk music,,,,
autoharp,banjo music,folk music,rock music,canadian country music,,
autonomous black metal,world music,autonomous music,rock music,,,
avant-garde,art music,,,,,
avant-garde black metal,world music,rock music,art music,,,
avant-garde jazz,jazz,art music,,,,
avant-garde metal,rock music,,,,,
avant-rock,rock music,,,,,
axe,world music,,,,,
azeri pop,pop music,,,,,
azeri rap,hip hop music,world music,,,,
azeri traditional,world music,,,,,
azonto,azonto,,,,,
azontobeats,pop music,world music,,,,
bachata,world music,dance music,,,,
bachata dominicana,world music,dance music,,,,
background jazz,jazz,functional music,,,,
background music,functional music,,,,,
background piano,functional music,,,,,
backing track,,,,,,
bagpipe,world music,folk music,,,,
baiao,world music,,,,,
bakersfield sound,world music,country music,,,,
bal-musette,world music,folk music,,,,
balafon,world music,instrumental music,,,,
balearic,electronic music,,,,,
balfolk,world music,folk music,,,,
balkan beats,balkan beats,,,,,
balkan brass,balkan brass,,,,,
balkan classical piano,art music,,,,,
balkan folk metal,world music,folk music,rock music,,,
balkan hip hop,hip hop music,world music,,,,
balkan trap,hip hop music,world music,,,,
ballroom,electronic music,dance music,,,,
baltic black metal,world music,rock music,,,,
baltic classical piano,art music,,,,,
baltic folk,world music,folk music,,,,
baltic post-punk,punk music,rock music,,,,
baltimore indie,rock music,,,,,
banda caliente,world music,,,,,
bandolim,choro,world music,,,,
bandoneon,jazz,world music,,,,
bangalore indie,functional music,,,,,
bangladeshi rock,world music,rock music,,,,
banjo,banjo music,,,,,
barbadian pop,pop music,,,,,
barbershop,vocal music,,,,,
bard,acoustic music,vocal music,world music,folk music,,
bardcore,bardcore,,,,,
barnmusik,,,,,,
barockinterpreten,art music,,,,,
baroque,art music,,,,,
baroque brass,art music,,,,,
baroque cello,art music,,,,,
baroque ensemble,art music,,,,,
baroque pop,pop music,art music,,,,
baroque singing,art music,,,,,
baroque violin,art music,,,,,
baroque woodwind,art music,,,,,
basel indie,rock music,,,,,
bass house,electronic music,dance music,,,,
bass music,electronic music,hip hop music,world music,,,
bass trap,bass,hip hop music,world music,electronic music,,
bass trip,bass,hip hop music,world music,electronic music,,
basshall,electronic music,dance music,,,,
bassline,electronic music,dance music,,,,
bath indie,rock music,,,,,
batida,electronic music,world music,dance music,,,
baton rouge rap,hip hop music,world music,,,,
battle rap,hip hop music,world music,,,,
bay area hip hop,hip hop music,world music,,,,
bay area indie,rock music,,,,,
bayerischer rap,hip hop music,world music,,,,
bboy,rhythm and blues,,,,,
bc underground hip hop,hip hop music,independent music,world music,underground music,,
beat italiano,pop music,rock music,,,,
beatboxing,beatboxing,,,,,
beatdown,electronic music,,,,,
beatlesque,rock music,,,,,
bebop,jazz,,,,,
bedroom pop,lo-fi music,pop music,,,,
bedroom soul,rhythm and blues,soul music,,,,
belarusian indie,punk music,world music,electronic music,rock music,,
belarusian metal,rock music,,,,,
belfast indie,musical modernism,jazz,,,,
belfast metal,rock music,,,,,
belgian black metal,world music,rock music,,,,
belgian blues,blues,,,,,
belgian dance,dance,dance music,,,,
belgian death metal,rock music,,,,,
belgian edm,electronic music,dance music,,,,
belgian electronic,electronic music,,,,,
belgian experimental,experimental music,,,,,
belgian hardcore,electronic music,rock music,dance music,,,
belgian hip hop,hip hop music,world music,,,,
belgian indie,rock music,,,,,
belgian indie rock,alternative,independent music,rock music,,,
belgian jazz,belgian jazz,,,,,
belgian metal,rock music,,,,,
belgian modern jazz,musical modernism,jazz,,,,
belgian new wave,world music,electronic music,pop music,hip hop music,rock music,
belgian pop,pop music,,,,,
belgian post-rock,experimental music,rock music,,,,
belgian rock,world music,rock music,,,,
belgian singer-songwriter,acoustic music,vocal music,,,,
belgian stoner rock,rock music,,,,,
belgian techno,electronic music,dance music,,,,
belly dance,dance,dance music,,,,
belo horizonte indie,,,,,,
bemani,,,,,,
