,artist_name,spotify_name,spotify_id,spotify_popularity,spotify_followers,spotify_listeners
/artists/281969-sheer-terror,Sheer Terror,Sheer Terror,2AFPWhrVDLjiVNMpbou4jU,28.0,16576.0,23300.0
/artists/2473686-sheik-anorak,Sheik Anorak,Sheik Anorak,636HaQbAxsWjBxkh731cdH,2.0,221.0,111.0
/artists/50230-sheila-jordan,Sheila Jordan,Sheila Jordan,6aSWZH2HiBFSJ28gv5JG7g,20.0,3576.0,10400.0
/artists/746599-sheila-she-loves-you,Sheila She Loves You,Sheila She Loves You,2deBVJSfVtvlqGRfyn13w0,4.0,118.0,256.0
/artists/20265-shelf-life,Shelf Life,Shelf Life,4HafwK5B5vs6IEEyRUNPGB,25.0,3518.0,16600.0
/artists/237744-shellac,Shellac,Shellac,6I8R5MFTlez7rHCsH4cx0u,37.0,71153.0,57900.0
/artists/10159341-shelley-fka-dram,Shelley FKA DRAM,Shelley FKA DRAM,5M0lbkGluOPXLeFjApw8r8,63.0,809751.0,3100000.0
/artists/340385-shelley-hirsch,Shelley Hirsch,Shelley Hirsch,4JmRrM1SIxS69E0s1jK8aK,0.0,210.0,44.0
/artists/446838-shelley-short,Shelley Short,Shelley Short,3ZNxO48EORsgv3A2UbLzbk,12.0,799.0,861.0
/artists/3647656-shelly-hirsch,Shelly Hirsch,Shelly Hirsch,7qVDTia3d9TCADIO3b6J8h,0.0,14.0,21.0
/artists/4176616-shelta-flares,Shelta Flares,Shelta Flares,1WOg8CR6DETUJSjuOreYKr,0.0,2.0,21.0
/artists/7758514-shelter-noiz,Shelter Noiz,,,,,
/artists/8991404-shem-thomas,Shem Thomas,Shem Thomas,7HyZIaSYfZVB9quJJTryFw,28.0,3792.0,25300.0
/artists/513816-shemekia-copeland,Shemekia Copeland,Shemekia Copeland,4CNjyWtO59j6Ih6S0n73ee,42.0,28750.0,184900.0
/artists/2627346-shen-yun,Shen Yun,Shen Yunng,5NKY4otSOq42wRT5fQQ14v,0.0,3.0,3.0
/artists/2584151-shen-yun-performing-arts,Shen Yun Performing Arts,,,,,
/artists/153232-shena,Shena,Shena,5FhRI8UpmCQzY1yJM4rWVL,34.0,690.0,1300.0
/artists/2782501-shenandoah,Shenandoah,Shenandoah,36eTeLNx8ErucrEyRm6JOo,53.0,315324.0,778600.0
/artists/2856201-shengen-clan,Shengen Clan,,,,,
/artists/109496-sheona-white,Sheona White,Sheona White,1r8cbk3TqtmxhhqO3BzuZU,0.0,13.0,6.0
/artists/9124624-sheridan-grout,Sheridan Grout,Sheridan Grout,1aQfNcjvHEaqxG5lT1XK7c,28.0,3504.0,28300.0
/artists/873057-sherlock-brothers,Sherlock Brothers,Sherlock Brothers,5C09GBvd2MIE3YqRSOB9dY,25.0,3201.0,19800.0
/artists/9105394-sherryou,Sherry-ou,Sherry-ou,63A4odffbg9Iim3nYjKaYB,13.0,758.0,1400.0
/artists/5668-sheryl-crow,Sheryl Crow,Sheryl Crow,4TKTii6gnOnUXQHyuo9JaD,67.0,811845.0,4600000.0
/artists/8881809-shibby-pictures,Shibby Pictures,,,,,
/artists/6958734-shield-patterns,Shield Patterns,Shield Patterns,27CGUXwDgg3Fo8bu84Rg0i,2.0,548.0,153.0
/artists/398249-shields,Shields,Shields,7axtOAPWPWUITkUpTHL34I,24.0,12039.0,15500.0
/artists/8756224-shields-uk,Shields ,Shields,7axtOAPWPWUITkUpTHL34I,24.0,12039.0,15500.0
/artists/4125446-shifted,Shifted,Shifted,3quiO6Un8G55TpLqs3gRv8,24.0,18808.0,14300.0
/artists/58377-shiloh,Shiloh,Shiloh,5r6AkaWwQMMkRBEaaM8AFS,64.0,21675.0,18600.0
/artists/2324754-shilpa-ray,Shilpa Ray,Shilpa Ray,2aBdKyqYmbMAxMFCujJSqw,29.0,13087.0,30400.0
/artists/8133493-shimes,Shimes,Shies,0FGtHooLqx8XlpNIOQ5w6t,4.0,50.0,215.0
/artists/8977119-shindy,Shindy,Shindy,5j21TGkrNEAJe3gG9VlS34,70.0,804629.0,2400000.0
/artists/445925-shinedoe,Shinedoe,Shinedoe,7CEi2xVvKnwXqRZo9AhoVc,12.0,1971.0,2300.0
/artists/246187-shinedown,Shinedown,Shinedown,70BYFdaZbEKbeauJ670ysI,72.0,3129551.0,5100000.0
/artists/7427189-shining-swe,Shining ,Shining,370lLcSfFuzXFatC0DFLel,37.0,20042.0,103200.0
/artists/8415343-shiraz-lane,Shiraz Lane,Shiraz Lane,0TTu3zbvW4iFfls1GDbyGk,32.0,8489.0,32299.0
/artists/8584634-shirley-grimes,Shirley Grimes,Shirley Grimes,2EsDZ2NzMtZuq8IgXFviv8,6.0,450.0,360.0
