,0,1,2,3,4,5
atmosphere,electronic music,functional music,,,,
atmospheric black metal,rock music,,,,,
atmospheric dnb,dance music,electronic music,,,,
atmospheric doom,rock music,,,,,
atmospheric post-metal,experimental music,alternative,rock music,,,
atmospheric post-rock,experimental music,rock music,,,,
atmospheric sludge,rock music,,,,,
auckland indie,pop music,,,,,
audiophile vocal,vocal music,,,,,
aussie drill,hip hop music,world music,,,,
aussie emo,experimental music,rock music,,,,
aussietronica,dance music,,,,,
austin americana,country music,world music,,,,
austin rock,rock music,,,,,
austin singer-songwriter,vocal music,acoustic music,,,,
austindie,rock music,,,,,
australian alternative pop,alternative,pop music,,,,
australian alternative rock,alternative,rock music,,,,
australian ambient,new age music,electronic music,,,,
australian americana,country music,world music,,,,
australian black metal,rock music,world music,,,,
australian blues,blues,,,,,
australian classical piano,art music,,,,,
australian country,country music,world music,,,,
australian dance,dance music,dance music,,,,
australian death metal,rock music,,,,,
australian electropop,pop music,electronic music,,,,
australian experimental,experimental music,,,,,
australian garage punk,rock music,rock music,,,,
australian hardcore,world music,rock music,,,,
australian hip hop,hip hop music,world music,,,,
australian house,dance music,electronic music,,,,
australian indie,rock music,,,,,
australian indie folk,folk music,world music,independent music,,,
australian indie rock,alternative,rock music,world music,independent music,,
australian indigenous,world music,,,,,
australian jazz,world music,jazz,,,,
australian metal,rock music,,,,,
australian metalcore,rock music,,,,,
australian pop,pop music,,,,,
australian post-hardcore,experimental music,dance music,rock music,electronic music,,
australian post-punk,rock music,rock music,,,,
australian post-rock,experimental music,rock music,,,,
australian psych,rock music,,,,,
australian r&b,rhythm and blues,,,,,
australian reggae fusion,music of jamaica,jazz,,,,
australian rock,world music,rock music,,,,
australian shoegaze,alternative,rock music,,,,
australian singer-songwriter,vocal music,acoustic music,,,,
australian ska,world music,ska,,,,
australian talent show,pop music,,,,,
australian techno,dance music,electronic music,,,,
australian thrash metal,world music,rock music,,,,
australian trap,hip hop music,world music,,,,
australian underground hip hop,hip hop music,world music,independent music,underground music,,
austrian black metal,rock music,world music,,,,
austrian classical piano,art music,,,,,
austrian contemporary classical,art music,pop music,,,,
austrian dnb,dance music,electronic music,,,,
austrian hip hop,hip hop music,world music,,,,
austrian indie,pop music,,,,,
austrian jazz,jazz,,,,,
austrian metal,rock music,,,,,
austrian orchestra,art music,,,,,
austrian pop,pop music,,,,,
austrian punk,rock music,rock music,,,,
austrian stoner rock,rock music,,,,,
austrian techno,dance music,electronic music,,,,
austropop,pop music,,,,,
auteur-compositeur-interprete quebecois,folk music,world music,,,,
autoharp,folk music,rock music,country music,country music,,
autonomous black metal,rock music,world music,art music,,,
avant-garde,art music,,,,,
avant-garde black metal,art music,rock music,world music,,,
avant-garde jazz,art music,jazz,,,,
avant-garde metal,rock music,,,,,
avant-rock,rock music,,,,,
axe,world music,,,,,
azeri pop,pop music,,,,,
azeri rap,hip hop music,world music,,,,
azeri traditional,world music,,,,,
azonto,dance music,,,,,
azontobeats,pop music,world music,,,,
bachata,world music,dance music,,,,
bachata dominicana,world music,dance music,,,,
background jazz,jazz,functional music,,,,
background music,functional music,,,,,
background piano,functional music,,,,,
backing track,functional music,,,,,
bagpipe,folk music,world music,,,,
baiao,world music,,,,,
