venue_id,nbr_artists,listeners_median,followers_median,acousticness_median,danceability_median,duration_ms_median,energy_median,instrumentalness_median,liveness_median,loudness_median,speechiness_median,tempo_median,valence_median
/venues/3146874,12,8100.0,783.0,0.0368,0.724,201103.0,0.6005,0.001079,0.11599999999999999,-7.255,0.1355,114.71950000000001,0.652
/venues/3146879,3,8100.0,292.0,0.0368,0.8125,193133.0,0.508,0.0,0.0451,-7.255,0.299,114.71950000000001,0.9199999999999999
/venues/3147264,1,453.0,375.0,0.14800000000000002,0.604,191921.0,0.5835,0.0008125,0.1145,-8.6905,0.0382,135.949,0.3825
/venues/3148029,5,136.0,413.0,0.005474999999999999,0.325,330696.0,0.575,0.09195,0.1245,-8.555,0.03605,112.64399999999999,0.3075
/venues/3148619,5,37500.0,3019.0,0.02765,0.4355,237558.5,0.87375,7.905e-05,0.25,-5.8255,0.06075,108.6855,0.44400000000000006
/venues/3153029,1,1.0,2.0,0.145,0.64,191862.0,0.887,0.0,0.17600000000000002,-3.036,0.0326,133.06,0.716
/venues/3153034,7,947100.0,129705.0,0.14550000000000002,0.5529999999999999,240700.0,0.6945,2.48e-06,0.118,-7.3675,0.034600000000000006,129.96,0.457
/venues/3153384,2,10.0,23.0,0.9009999999999999,0.42200000000000004,110852.0,0.0824,1.56e-06,0.10400000000000001,-14.943,0.0557,92.461,0.177
/venues/3153664,1,2300.0,3475.0,,,,,,,,,,
/venues/3154219,1,4.0,7.0,0.436,0.533,225213.5,0.664,6.1e-07,0.114,-8.07,0.193,125.34550000000002,0.353
/venues/3154554,2,62.0,99.5,0.0019212500000000002,0.48775,207003.25,0.84725,0.009351537500000002,0.23149999999999998,-5.367,0.060725,115.22475,0.45575
/venues/3155254,5,83.0,141.0,0.0671,0.623,194613.5,0.723,0.0052899999999999996,0.1345,-8.427999999999999,0.05035,125.0215,0.688
/venues/3156039,1,614800.0,1294256.0,0.532,0.536,242318.5,0.5994999999999999,0.0,0.1765,-7.0885,0.0377,102.513,0.48350000000000004
/venues/3156699,10,219.0,228.5,0.50475,0.55175,222727.0,0.40175,0.011215,0.11197499999999999,-10.866499999999998,0.038400000000000004,114.22274999999999,0.38825
/venues/3157199,23,5750.0,1869.0,0.42500000000000004,0.5974999999999999,214079.5,0.5065,0.0006025,0.11,-8.011,0.0401,116.982,0.33
/venues/3159424,15,880.0,186.0,0.482,0.5365,229893.5,0.4595,0.0807,0.10949999999999999,-12.140999999999998,0.042649999999999993,114.167,0.2345
/venues/3160114,4,1854.0,154.5,0.8975000000000001,0.37875000000000003,306628.0,0.27425,0.687,0.1075,-16.06725,0.03785,112.956,0.1745
/venues/3163409,1,831800.0,20875.0,0.9635,0.38,203333.5,0.07615,0.8999999999999999,0.10300000000000001,-20.917,0.0406,88.0295,0.19299999999999998
/venues/3163634,14,292.5,140.0,0.88625,0.37875000000000003,309625.5,0.29425,0.837,0.10924999999999999,-15.41625,0.03805,112.91325,0.1825
/venues/3164934,4,62.5,244.0,0.0018767500000000002,0.39975,248232.5,0.9259999999999999,0.0017633749999999998,0.183,-4.861000000000001,0.05875,116.2875,0.39425
/venues/3166004,3,805800.0,73481.0,0.00527,0.7415,300291.0,0.7170000000000001,0.6074999999999999,0.10522500000000001,-7.104,0.0498,123.98975,0.28325
/venues/3166144,12,2000.0,1216.0,0.4285,0.6335,241460.0,0.5125,0.0001895,0.12975,-9.0075,0.037675,114.97550000000001,0.39649999999999996
/venues/3167434,5,29500.0,669.0,0.02765,0.43,239859.25,0.8362499999999999,0.000681925,0.25,-5.8255,0.0511,108.691,0.41450000000000004
/venues/3167999,10,1100.0,1227.0,0.46475,0.5927499999999999,256756.75,0.4515,0.279625,0.11099999999999999,-10.678500000000001,0.03815,125.44375,0.38575
/venues/3168359,1,243.0,102.0,0.01366,0.8225,329934.0,0.4495,0.709,0.09029999999999999,-11.512,0.09105,124.0025,0.629
/venues/3170189,1,46900.0,26164.0,0.581,0.734,227731.0,0.5125,0.315135,0.2975,-12.372499999999999,0.08085,91.65,0.848
/venues/3170229,3,22.0,67.0,0.631,0.695,227773.0,0.4,3.81e-05,0.109,-10.677,0.0616,125.71799999999999,0.539
/venues/3171054,2,10000.0,2490.0,0.439775,0.44325000000000003,234246.5,0.45225000000000004,0.11465749999999998,0.10625,-9.408000000000001,0.03405,101.60149999999999,0.3725
/venues/3171129,1,7500.0,1470.0,0.0010085,0.8095000000000001,414230.0,0.7084999999999999,0.8915,0.1045,-10.2665,0.06845,124.98149999999998,0.359
/venues/3171749,3,181.0,246.0,0.632,0.583,184033.5,0.33699999999999997,0.0019735,0.152,-10.1615,0.0455,113.2465,0.349
/venues/3172159,1,4.0,7.0,0.436,0.533,225213.5,0.664,6.1e-07,0.114,-8.07,0.193,125.34550000000002,0.353
/venues/3172319,44,773.0,1001.0,0.08565,0.532,229393.0,0.765,0.020154,0.1445,-6.823500000000001,0.0556,121.99199999999999,0.487
/venues/31724,682,231500.0,59233.0,0.23800000000000002,0.616,233126.5,0.611,0.0007725000000000001,0.11599999999999999,-8.089,0.0441,117.994,0.47250000000000003
/venues/3172424,2,144000.0,92160.5,0.027575000000000002,0.66725,275755.0,0.7344999999999999,0.40740775,0.11875,-8.318,0.06595000000000001,123.13150000000002,0.2155
/venues/3172744,1,99.0,108.0,0.372,0.5834999999999999,227180.0,0.532,0.0804,0.16049999999999998,-8.9825,0.0426,119.003,0.5914999999999999
/venues/3172749,23,191.0,279.0,0.28700000000000003,0.503,236268.5,0.5485,0.0143,0.1235,-8.977,0.038,120.096,0.385
/venues/3172809,1,10.0,55.0,0.742,0.431,302793.0,0.162,0.0011300000000000001,0.098,-16.202,0.0614,118.92399999999999,0.155
/venues/3173639,1,4.0,7.0,0.436,0.533,225213.5,0.664,6.1e-07,0.114,-8.07,0.193,125.34550000000002,0.353
/venues/3173659,2,706.5,249.5,0.08179875,0.70325,211736.5,0.63025,0.07003999999999999,0.13824999999999998,-8.012,0.0518,112.774,0.33525
