,venue_id,concert_id,artist_id,date,latitude,longitude
42946,/venues/584981,/concerts/32211179,/artists/4134421-miss-saigon,2018-12-30,47.41068,8.54969
42947,/venues/584981,/concerts/32211174,/artists/4134421-miss-saigon,2018-12-30,47.41068,8.54969
42940,/venues/584981,/concerts/32211124,/artists/4134421-miss-saigon,2019-01-05,47.41068,8.54969
42941,/venues/584981,/concerts/32211099,/artists/4134421-miss-saigon,2019-01-05,47.41068,8.54969
42938,/venues/584981,/concerts/32211069,/artists/4134421-miss-saigon,2019-01-06,47.41068,8.54969
42939,/venues/584981,/concerts/32211029,/artists/4134421-miss-saigon,2019-01-06,47.41068,8.54969
42932,/venues/584981,/concerts/32211164,/artists/4134421-miss-saigon,2019-01-12,47.41068,8.54969
42933,/venues/584981,/concerts/32211039,/artists/4134421-miss-saigon,2019-01-12,47.41068,8.54969
42930,/venues/584981,/concerts/32211254,/artists/4134421-miss-saigon,2019-01-13,47.41068,8.54969
42931,/venues/584981,/concerts/32211094,/artists/4134421-miss-saigon,2019-01-13,47.41068,8.54969
17644,/venues/49813,/concerts/25629284,/artists/413781-in-this-moment,2016-01-12,47.38417000000001,8.533
17645,/venues/49813,/concerts/24860889,/artists/413781-in-this-moment,2016-01-12,47.38417000000001,8.533
77204,/venues/2832933,/concerts/24999214,/artists/414198-joe-bonamassa,2016-07-14,47.53091,7.6146600000000015
77209,/venues/2832933,/concerts/24999209,/artists/414198-joe-bonamassa,2016-07-14,47.53091,7.6146600000000015
34290,/venues/33266,/concerts/32602859,/artists/4142216-freestyle-convention,2018-03-10,47.04458,8.31125
34291,/venues/33266,/concerts/32311024,/artists/4142216-freestyle-convention,2018-03-10,47.04458,8.31125
6037,/venues/37717,/concerts/25629439,/artists/4144956-colin-vallon,2016-01-12,47.38865,8.5187
6039,/venues/37717,/concerts/25582339,/artists/4144956-colin-vallon,2016-01-12,47.38865,8.5187
38409,/venues/2755408,/concerts/32158019,/artists/4153801-gasandji,2018-01-14,46.95022,7.442989999999999
38410,/venues/2755408,/concerts/32158014,/artists/4153801-gasandji,2018-01-14,46.95022,7.442989999999999
11497,/venues/31724,/concerts/27051909,/artists/417172-element-of-crime,2016-11-20,47.37106,8.53572
11500,/venues/31724,/concerts/26999389,/artists/417172-element-of-crime,2016-11-20,47.37106,8.53572
46742,/venues/1695338,/festivals/1145613,/artists/417507-darkspace,2014-10-02,46.19741,6.13007
46748,/venues/1695338,/festivals/997918,/artists/417507-darkspace,2014-10-02,46.19741,6.13007
16543,/venues/184783,/concerts/25628754,/artists/417602-serenity,2016-02-06,47.20063,7.5283
16545,/venues/184783,/concerts/23931219,/artists/417602-serenity,2016-02-06,47.20063,7.5283
16309,/venues/184783,/concerts/32330974,/artists/418097-peacocks,2018-01-05,47.20063,7.5283
16311,/venues/184783,/concerts/31898159,/artists/418097-peacocks,2018-01-05,47.20063,7.5283
6237,/venues/37717,/concerts/24664284,/artists/4183801-akua-naru,2015-09-09,47.38865,8.5187
6239,/venues/37717,/concerts/24611934,/artists/4183801-akua-naru,2015-09-09,47.38865,8.5187
5996,/venues/37717,/concerts/25738834,/artists/4188586-joke-lanz,2016-02-02,47.38865,8.5187
5999,/venues/37717,/concerts/25659684,/artists/4188586-joke-lanz,2016-02-02,47.38865,8.5187
5966,/venues/37717,/concerts/25882574,/artists/4188586-joke-lanz,2016-02-15,47.38865,8.5187
5969,/venues/37717,/concerts/25659619,/artists/4188586-joke-lanz,2016-02-15,47.38865,8.5187
5952,/venues/37717,/concerts/25882564,/artists/4188586-joke-lanz,2016-02-23,47.38865,8.5187
5955,/venues/37717,/concerts/25659614,/artists/4188586-joke-lanz,2016-02-23,47.38865,8.5187
58262,/venues/83369,/concerts/25629099,/artists/4189531-baba-shrimps,2015-12-19,47.56107,8.893930000000003
58263,/venues/83369,/concerts/24564194,/artists/4189531-baba-shrimps,2015-12-19,47.56107,8.893930000000003
28044,/venues/3389884,/concerts/39052004,/artists/419112-mighty-mo-rodgers,2019-09-03,46.96103,7.43941
28045,/venues/3389884,/concerts/39052003,/artists/419112-mighty-mo-rodgers,2019-09-03,46.96103,7.43941
28042,/venues/3389884,/concerts/39052006,/artists/419112-mighty-mo-rodgers,2019-09-04,46.96103,7.43941
28043,/venues/3389884,/concerts/39052005,/artists/419112-mighty-mo-rodgers,2019-09-04,46.96103,7.43941
28040,/venues/3389884,/concerts/39052008,/artists/419112-mighty-mo-rodgers,2019-09-05,46.96103,7.43941
28041,/venues/3389884,/concerts/39052007,/artists/419112-mighty-mo-rodgers,2019-09-05,46.96103,7.43941
28038,/venues/3389884,/concerts/39052010,/artists/419112-mighty-mo-rodgers,2019-09-06,46.96103,7.43941
28039,/venues/3389884,/concerts/39052009,/artists/419112-mighty-mo-rodgers,2019-09-06,46.96103,7.43941
28036,/venues/3389884,/concerts/39052012,/artists/419112-mighty-mo-rodgers,2019-09-07,46.96103,7.43941
28037,/venues/3389884,/concerts/39052011,/artists/419112-mighty-mo-rodgers,2019-09-07,46.96103,7.43941
19115,/venues/514666,/concerts/24374794,/artists/421264-gojira,2015-08-21,47.52729,7.69406
19116,/venues/514666,/concerts/24373069,/artists/421264-gojira,2015-08-21,47.52729,7.69406
51280,/venues/903721,/concerts/24350204,/artists/421338-john-legend,2015-07-15,46.16977,8.79623
51299,/venues/903721,/concerts/24350144,/artists/421338-john-legend,2015-07-15,46.16977,8.79623
15200,/venues/814881,/concerts/25629234,/artists/4223556-dope-dod,2016-01-31,47.56452,7.5913
15201,/venues/814881,/concerts/24815439,/artists/4223556-dope-dod,2016-01-31,47.56452,7.5913
8057,/venues/35057,/concerts/25628909,/artists/424028-eric-lindell,2016-03-11,47.56118,7.593669999999999
8060,/venues/35057,/concerts/24296874,/artists/424028-eric-lindell,2016-03-11,47.56118,7.593669999999999
