,0,1,2,3,4,5
algerian folk,world music,folk music,,,,
alphorn,instrumental music,,,,,
alpine yodeling,vocal music,,,,,
alt z,pop music,,,,,
alternative americana,country music,world music,alternative,,,
alternative country,world music,country music,,,,
alternative dance,alternative,dance music,rock music,,,
alternative emo,experimental music,alternative,rock music,,,
alternative hardcore,alternative,electronic music,dance music,rock music,,
alternative hip hop,world music,hip hop music,,,,
alternative metal,alternative,rock music,,,,
alternative metalcore,alternative,rock music,,,,
alternative pop,pop music,,,,,
alternative pop rock,pop music,alternative,rock music,,,
alternative r&b,rhythm and blues,,,,,
alternative rock,alternative,rock music,,,,
alternative roots rock,alternative,rock music,,,,
ambeat,rhythm and blues,,,,,
ambient,electronic music,new age music,,,,
ambient black metal,electronic music,experimental music,rock music,new age music,,
ambient folk,world music,electronic music,folk music,new age music,,
ambient house,electronic music,dance music,new age music,,,
ambient idm,electronic music,new age music,,,,
ambient industrial,experimental music,electronic music,new age music,,,
ambient pop,pop music,alternative,rock music,,,
ambient post-rock,rock music,experimental music,electronic music,new age music,,
ambient psychill,electronic music,new age music,,,,
ambient techno,electronic music,dance music,new age music,,,
ambient trance,electronic music,dance music,new age music,,,
american 21st century classical,art music,,,,,
american classical piano,art music,,,,,
american contemporary classical,art music,contemporary music,,,,
american folk revival,world music,folk music,,,,
american grindcore,rock music,,,,,
american melodeath,rock music,,,,,
american metalcore,rock music,,,,,
american oi,rock music,,,,,
american orchestra,orchestra,,,,,
american post-rock,experimental music,rock music,,,,
american primitive,folk music,,,,,
american shoegaze,alternative,rock music,,,,
amharic pop,pop music,,,,,
anarcho-punk,rock music,,,,,
anime,functional music,,,,,
anime rap,world music,hip hop music,functional music,,,
anime rock,rock music,functional music,,,,
anime score,functional music,,,,,
ann arbor indie,banjo music,,,,,
anthem emo,experimental music,rock music,hymn,vocal music,functional music,
anthem worship,hymn,vocal music,functional music,,,
anti-folk,folk music,,,,,
antideutsche,world music,rock music,,,,
appenzeller folk,world music,folk music,,,,
arab alternative,alternative,,,,,
arab electronic,electronic music,,,,,
arab experimental,experimental music,,,,,
arab folk,world music,folk music,,,,
arab groove,pop music,,,,,
arab metal,rock music,,,,,
arab pop,world music,pop music,,,,
arabesk,world music,pop music,,,,
arabic hip hop,world music,hip hop music,,,,
arabic jazz,world music,jazz,,,,
argentine ambient,electronic music,new age music,,,,
argentine hardcore,electronic music,dance music,rock music,,,
argentine indie,rock music,,,,,
argentine jazz,jazz,,,,,
argentine metal,rock music,,,,,
argentine punk,argentine punk,,,,,
argentine reggae,music of jamaica,,,,,
argentine rock,world music,rock music,,,,
argentine telepop,world music,pop music,,,,
arizona punk,punk music,rock music,,,,
arkansas country,world music,country music,,,,
arkansas indie,rock music,,,,,
arkansas metal,rock music,,,,,
armenian pop,pop music,,,,,
art pop,pop music,,,,,
art punk,rock music,,,,,
art rock,rock music,,,,,
art song,art music,vocal music,,,,
asbury park indie,rock music,,,,,
asheville indie,rock music,,,,,
asian american hip hop,asian american hip hop,,,,,
athens indie,rock music,,,,,
atl hip hop,world music,hip hop music,,,,
atl trap,world music,hip hop music,,,,
atlanta indie,rock music,,,,,
atlanta metal,rock music,,,,,
atlanta punk,punk music,rock music,,,,
atlantic canada hip hop,world music,hip hop music,,,,
atmosphere,functional music,,,,,
atmospheric black metal,rock music,,,,,
atmospheric dnb,electronic music,dance music,,,,
atmospheric doom,rock music,,,,,
atmospheric post-metal,experimental music,alternative,rock music,,,
atmospheric post-rock,experimental music,rock music,,,,
atmospheric sludge,rock music,,,,,
auckland indie,pop music,,,,,
audiophile vocal,vocal music,,,,,
aussie drill,world music,hip hop music,,,,
aussie emo,experimental music,rock music,,,,
aussietronica,dance music,,,,,
austin americana,world music,country music,,,,
austin rock,rock music,,,,,
austin singer-songwriter,vocal music,acoustic music,,,,
austindie,rock music,,,,,
australian alternative pop,pop music,alternative,,,,
australian alternative rock,alternative,rock music,,,,
