artist_id,artist_name,spotify_name,spotify_id,spotify_popularity,spotify_followers,spotify_listeners
/artists/7936208-mark-feldmann,Mark Feldmann,Mark Feldman,4SOKSspBiacwf4ovOGG2iA,15.0,702.0,6200.0
/artists/6596729-mark-lanegan-band,Mark Lanegan Band,Mark Lanegan,1fpXM23IoNckJ7NDAm8YJQ,51.0,194755.0,431100.0
/artists/356939-mark-lanegan,Mark Lanegan,Mark Lanegan,1fpXM23IoNckJ7NDAm8YJQ,51.0,194755.0,431100.0
/artists/4917418-martin-kalberer,Martin Kälberer,Martin Kälberer,5coyxZUfGNnxd7SeisZakg,21.0,1224.0,4200.0
/artists/2926261-kalberer,Kälberer,Martin Kälberer,5coyxZUfGNnxd7SeisZakg,21.0,1224.0,4200.0
/artists/440889-martinez,Martinez,Martinez,7GVu6MlEKOgGFxPsae0NFJ,36.0,3554.0,46400.0
/artists/8904679-martinezch,Martinez,Martinez,7GVu6MlEKOgGFxPsae0NFJ,36.0,3554.0,46400.0
/artists/3082396-marty-ehrlich-quartet,Marty Ehrlich Quartet,Marty Ehrlich Rites Quartet,5HqIg8UL9h9VnU54oQ1fs4,0.0,26.0,1.0
/artists/3146256-marty-ehrlich-rites-quartet,Marty Ehrlich Rites Quartet,Marty Ehrlich Rites Quartet,5HqIg8UL9h9VnU54oQ1fs4,0.0,26.0,1.0
/artists/7230649-spillmann,Spillmann,Mats Spillmann,6QMAEwD01mGsODb11SrEFt,0.0,1.0,2.0
/artists/10159511-mats-spillmann,Mats Spillmann,Mats Spillmann,6QMAEwD01mGsODb11SrEFt,0.0,1.0,2.0
/artists/8622999-mathieu-michel,Mathieu Michel,Matthieu Michel,41FrZElPoQw0plv2d3UL2r,38.0,239.0,133000.0
/artists/8672543-matthieu-michel,Matthieu Michel,Matthieu Michel,41FrZElPoQw0plv2d3UL2r,38.0,239.0,133000.0
/artists/511523-match,M.a.t.c.h.,Maurice André,12LdOpXPkvTuU6nauFBh41,35.0,11867.0,55100.0
/artists/4132186-mit-fool,Mit F.o.o.l,Maurice André,12LdOpXPkvTuU6nauFBh41,35.0,11867.0,55100.0
/artists/9131919-me-and-mobi-ch,Me&Mobi ,Me&Mobi,5gU5CMICDAU7d82EyB4Oku,0.0,137.0,28.0
/artists/8758514-me-and-mobi,Me & Mobi,Me&Mobi,5gU5CMICDAU7d82EyB4Oku,0.0,137.0,28.0
/artists/448248-meltdown,Meltdown,Meltdown,4t82buKvhVT0t4FdF1d11i,17.0,104.0,7000.0
/artists/9450019-meltdown-eh,Meltdown ,Meltdown,4t82buKvhVT0t4FdF1d11i,17.0,104.0,7000.0
/artists/4362133-melvins-lite,Melvins Lite,Melvins,6aVjo0xHSiuW5hkasoYSR3,51.0,281647.0,447800.0
/artists/207184-melvins,Melvins,Melvins,6aVjo0xHSiuW5hkasoYSR3,51.0,281647.0,447800.0
/artists/1820726-me,Me,Mew,6kDMoHTcBICPILP2aclPWZ,44.0,123145.0,122100.0
/artists/207026-mew,Mew,Mew,6kDMoHTcBICPILP2aclPWZ,44.0,123145.0,122100.0
/artists/8854319-midilik,Midilik,Midlake,4YsP5zmteLQ7etNjHAOu30,46.0,109156.0,350900.0
/artists/66246-midlake,Midlake,Midlake,4YsP5zmteLQ7etNjHAOu30,46.0,109156.0,350900.0
/artists/1367596-m,-M-,Migos,6oMuImdp5ZcFhWP0ESe6mG,82.0,11782754.0,18800000.0
/artists/7222459-migos,Migos,Migos,6oMuImdp5ZcFhWP0ESe6mG,82.0,11784944.0,18800000.0
/artists/451008-miossec,Miossec,Miossec,0wf6vuNqTvdRGrmpsPu2kW,37.0,41961.0,87500.0
/artists/8045863-miossec-fr,MIOSSEC ,Miossec,0wf6vuNqTvdRGrmpsPu2kW,37.0,41961.0,87500.0
/artists/206346-miracle-fortress,Miracle Fortress,Miracle Fortress,5IBqn0XSlmonqBm9Vf5T2x,17.0,3874.0,6500.0
/artists/9083624-miracle-four,Miracle Four,Miracle Fortress,5IBqn0XSlmonqBm9Vf5T2x,17.0,3874.0,6500.0
/artists/332532-modeselektor,Modeselektor,Modeselektor,2jYMYP2SVifgmzNRQJx3SJ,49.0,202235.0,354800.0
/artists/3415281-modeselektion,Modeselektion,Modeselektor,2jYMYP2SVifgmzNRQJx3SJ,49.0,202235.0,354800.0
/artists/10096110-mono-blues-band,Mono Blues Band,Mojo Blues Band,4Ry4wFq0m8FwZx1J5OKSSk,29.0,4270.0,19100.0
/artists/11267-mojo-blues-band,Mojo Blues Band,Mojo Blues Band,4Ry4wFq0m8FwZx1J5OKSSk,29.0,4270.0,19100.0
/artists/599905-monkey3,Monkey3,Monkey3,31GFg2x20JkksUlQxN9BMe,30.0,25637.0,24300.0
/artists/7771479-monkey-3,Monkey 3,Monkey3,31GFg2x20JkksUlQxN9BMe,30.0,25637.0,24300.0
/artists/316019-montserrat-caballe,Montserrat Caballe,Montserrat Caballé,6oGu0NZWy8gJ18wggybFqH,51.0,66067.0,711400.0
/artists/224783-montserrat-caball,Montserrat Caball,Montserrat Caballé,6oGu0NZWy8gJ18wggybFqH,51.0,66067.0,711400.0
/artists/10087599-mord-fuzztang,Mord Fuzztang,Mord Fustang,34hwBP1esafQoCVtLz7F6K,42.0,50472.0,141000.0
/artists/4270006-mord-fustang,Mord Fustang,Mord Fustang,34hwBP1esafQoCVtLz7F6K,42.0,50472.0,141000.0
/artists/7588849-motor-city-drum-ensemble-d,Motor City Drum Ensemble ,Motor City Drum Ensemble,4TlzX7s6kuZDtiBpsopcBf,38.0,79486.0,184900.0
/artists/1678228-motor-city-drum-ensemble,Motor City Drum Ensemble,Motor City Drum Ensemble,4TlzX7s6kuZDtiBpsopcBf,38.0,79486.0,184900.0
/artists/61825-motor,Motor,Motorama,3j0kMFxXTTYsuw1twLClw3,52.0,173731.0,426600.0
/artists/36738-motorama,Motorama,Motorama,3j0kMFxXTTYsuw1twLClw3,52.0,173731.0,426600.0
/artists/9708079-mrblue-and-the-tight-groove,Mr.Blue & The Tight Groove,Mr Blue & The Tight Groove,31XwsIrIZ1uTtf4uCN1Xnm,3.0,71.0,346.0
/artists/5205773-tight-groove,The Tight Groove,Mr Blue & The Tight Groove,31XwsIrIZ1uTtf4uCN1Xnm,4.0,71.0,349.0
/artists/76512-mr-ray,Mr. Ray,Mr. Ray,2i4GVlEu6cffApP1QcjawY,35.0,961.0,68600.0
/artists/9952929-mr-ray-band,Mr. Ray ,Mr. Ray,2i4GVlEu6cffApP1QcjawY,35.0,961.0,68600.0
/artists/7200609-mudbath-fr,Mudbath ,Mudeth,6ERwcThkHmFXYHH3TagPOY,40.0,5579.0,59300.0
/artists/1700693-mudbath,Mudbath,Mudeth,6ERwcThkHmFXYHH3TagPOY,40.0,5579.0,59300.0
/artists/2202327-mumford-and-sons,Mumford & Sons,Mumford & Sons,3gd8FJtBJtkRxdfbTu19U2,74.0,6149961.0,8400000.0
/artists/8044488-mfmf,Mfmf,Mumford & Sons,3gd8FJtBJtkRxdfbTu19U2,74.0,6149961.0,8400000.0
/artists/9632864-murphy-ch,Murphy ,Murphy,25nKGLt8u775jURsw1bIP0,23.0,9.0,16100.0
/artists/757420-murphy,Murphy,Murphy,25nKGLt8u775jURsw1bIP0,23.0,9.0,16100.0
/artists/263422-mur,Mur,Murs,2dWF6m2ksP9GN75fufFp16,49.0,133971.0,239700.0
/artists/82388-murs,Murs,Murs,2dWF6m2ksP9GN75fufFp16,49.0,133971.0,239700.0
/artists/240650-mu,Mu,Muse,12Chz98pHFMPJEknJQMWvI,76.0,6643162.0,10700000.0
/artists/219230-muse,Muse,Muse,12Chz98pHFMPJEknJQMWvI,76.0,6643162.0,10700000.0
/artists/2589991-my-bubba-and-mi,My Bubba & Mi,My Bubba,09VsCALGBjeVE3pq9k085d,32.0,16760.0,47700.0
/artists/4277416-my-bubba,My Bubba,My Bubba,09VsCALGBjeVE3pq9k085d,32.0,16760.0,47700.0
/artists/4188706-mya-audrey,Mya Audrey,Mya Audrey,78AnJEAgyLoz3yjzg4zwwZ,1.0,118.0,57.0
/artists/3094576-mya-audray,Mya Audray,Mya Audrey,78AnJEAgyLoz3yjzg4zwwZ,1.0,118.0,57.0
/artists/441319-manegarm,Månegarm,Månegarm,6jQgWQKirZ7IKDGN8fRtdA,35.0,55678.0,41900.0
/artists/99862-mnegarm,Mnegarm,Månegarm,6jQgWQKirZ7IKDGN8fRtdA,35.0,55678.0,41900.0
/artists/291199-ndr-bigband,NDR Bigband,NDR Bigband,2JgSc66Kcvl1pko9jI5K91,22.0,1502.0,9800.0
/artists/538954-ndr-big-band,NDR Big Band,NDR Bigband,2JgSc66Kcvl1pko9jI5K91,22.0,1502.0,9800.0
/artists/7725449-natascha-waters,Natascha Waters,Natasha Waters,3G14Laubj5olD0bsK0A8pp,7.0,176.0,525.0
/artists/5341513-natasha-waters,Natasha Waters,Natasha Waters,3G14Laubj5olD0bsK0A8pp,7.0,176.0,525.0
/artists/480812-neo,Neo,Ne-Yo,21E3waRsmPlU7jZsS13rcj,79.0,6409678.0,15900000.0
/artists/491256-neyo,Ne-Yo,Ne-Yo,21E3waRsmPlU7jZsS13rcj,79.0,6409678.0,15900000.0
/artists/394864-neil-young-and-crazy-horse,Neil Young & Crazy Horse,Neil Young,6v8FB84lnmJs434UJf2Mrm,70.0,2326274.0,6100000.0
/artists/1980138-neil-young,Neil Young,Neil Young,6v8FB84lnmJs434UJf2Mrm,70.0,2326274.0,6100000.0
/artists/9048559-nels-cline-four,The Nels Cline Four,Nels Cline,3s6o8vxtYJ1utkWl8EXxUp,32.0,19010.0,55600.0
/artists/53910-nels-cline-singers,The Nels Cline Singers,Nels Cline,3s6o8vxtYJ1utkWl8EXxUp,32.0,19010.0,55600.0
/artists/242853-nels-cline,Nels Cline,Nels Cline,3s6o8vxtYJ1utkWl8EXxUp,32.0,19010.0,55600.0
/artists/407920-nen,Nen,Nena,6Tz0QRoe083BcOo2YbG9lV,63.0,292166.0,3500000.0
/artists/137476-nena,Nena,Nena,6Tz0QRoe083BcOo2YbG9lV,63.0,292166.0,3500000.0
/artists/6357084-nevborn,NevBorn,NevBorn,3BX0sUe4noAON504FqA1GW,0.0,116.0,6.0
/artists/7735709-nevborn-ch,NEVBORN ,NevBorn,3BX0sUe4noAON504FqA1GW,0.0,116.0,6.0
/artists/246356-new-york-skajazz-ensemble,New York Ska-jazz Ensemble,New York Ska-Jazz Ensemble,0ADVX4vKQN1saCsOdl67Fj,37.0,50930.0,75000.0
/artists/4796428-new-york-ska,New York Ska,New York Ska-Jazz Ensemble,0ADVX4vKQN1saCsOdl67Fj,37.0,50930.0,75000.0
