,artist_id,linked_artist_id,artist_name,spotify_name,spotify_id,spotify_followers,spotify_listeners
6520,/artists/5027958-danny-avila,/artists/5027958-danny-avila,Danny Avila,Danny Avila,5y3G1B8cpCTaoq0uDgjwzH,41543.0,1600000.0
6521,/artists/1263361-danny-brown,/artists/1263361-danny-brown,Danny Brown,Danny Brown,7aA592KWirLsnfb5ulGWvU,642099.0,1700000.0
6522,/artists/2053672-danny-bryant,/artists/2053672-danny-bryant,Danny Bryant,Danny Bryant,0y5sFo3j8Mo01UVEfqeuqn,14659.0,39600.0
6523,/artists/4208-danny-bryants-redeyeband,/artists/4208-danny-bryants-redeyeband,Danny Bryant's RedEyeBand,Danny Bryant's Redeyeband,0rcfMQx1HSYQLoUNBfT2mc,5258.0,21100.0
6524,/artists/584452-danny-byrd,/artists/584452-danny-byrd,Danny Byrd,Danny Byrd,7iczgrgAFILjQVGzLsUzbG,59503.0,324800.0
6525,/artists/10073003-danny-carls,/artists/10073003-danny-carls,Danny Carls,Danny Carls,39SHrJuBzziDOPyzAUNBLL,35.0,57.0
6526,/artists/9495914-danny-concannon,/artists/9495914-danny-concannon,Danny Concannon,Danny Concannon,4KXxCoqqyXqm7vgvxtaHJk,124.0,71.0
6527,/artists/80122-danny-diablo,/artists/80122-danny-diablo,Danny Diablo,Danny Diablo,6rpdUczV3fScAaUUrsnKrl,5773.0,5900.0
6528,/artists/9615114-danny-diamonds-bos,/artists/9615114-danny-diamonds-bos,Danny Diamonds  ,Danny Diamonds,2X4GEvrPvuF61jxYR1d9RL,5194.0,51100.0
6529,/artists/2456846-danny-faber,/artists/2456846-danny-faber,Danny Faber,Danny Faber,7qOGCTcYZ11W2e7i9LQ49q,73.0,533.0
6530,/artists/544519-danny-grissett,/artists/544519-danny-grissett,Danny Grissett,Danny Grissett,4cePuNhFNRCjCzpM1VierQ,2340.0,104700.0
6531,/artists/8206838-danny-jazz-trio,/artists/8206838-danny-jazz-trio,Danny Jazz Trio,Danny Jazz Trio,6z9O3Se6z1cT0FcyAvXjuy,15.0,18.0
6532,/artists/2980806-danny-kroha,/artists/2980806-danny-kroha,Danny Kroha,Danny Kroha,0amf91cUep3YKQ5R7NJ1Mb,624.0,13300.0
6533,/artists/6325104-danny-trejo,/artists/6325104-danny-trejo,Danny Trejo,Danny Trejo,3ryuGhfzV3thw6lEIGPTnR,4.0,13300.0
6534,/artists/3852011-danny-and-the-darleans,/artists/3852011-danny-and-the-darleans,Danny and the Darleans,Danny and the Darleans,7tFw9eTcsOG0OLT3dwsLXt,727.0,315.0
6535,/artists/4784213-danomusik,/artists/4784213-danomusik,Danomusik,Danomusik,3Z3CN2yu3KmxpSrAq3IhW4,0.0,1.0
6536,/artists/3226386-dans-dans,/artists/3226386-dans-dans,Dans Dans,Dans Dans,5x3LMsfwbAiYZy5lAqgM2m,14525.0,40900.0
6537,/artists/5817469-dans-la-visage,/artists/5817469-dans-la-visage,Dans La Visage,,,,
6538,/artists/2666906-dans-les-arbres,/artists/2666906-dans-les-arbres,Dans Les Arbres,Dans Les Arbres,4KnWaJ9K8ptbIRByW9VQbe,220.0,93.0
6539,/artists/702307-dans-la-tente,/artists/702307-dans-la-tente,Dans la tente,Dans La Tente,0ZgPnbkXS3R1QxRV1XPYO4,232.0,77.0
6540,/artists/9800089-danso-key,/artists/9800089-danso-key,Danso Key,Danso Key,7tM0wKmMZqrOf8FJYMSJ9z,91.0,14.0
6541,/artists/18688-danu,/artists/18688-danu,Danu,DANU,4hVodcSKHtJWb5fIRvzax7,447.0,86800.0
6542,/artists/5718844-danuel-tate,/artists/5718844-danuel-tate,Danuel Tate,Danuel Tate,6wiRMNzCMalx9PUFmy5wj4,33.0,86800.0
6543,/artists/224953-dany-brillant,/artists/224953-dany-brillant,Dany Brillant,Dany Brillant,2js7kRsBUpGEDcr6CeGAfa,17992.0,182700.0
6544,/artists/9953034-dany-zarah,/artists/9953034-dany-zarah,Dany Zarah,Dany Zarah,5Vv6cWOHK3IvjOz31eZHU5,21.0,10.0
6545,/artists/60268-danyel-grard,/artists/60268-danyel-grard,Danyel Grard,Danyel Gerard,18wc7xvm8Ti7rqoLtf6jIU,5042.0,74000.0
6546,/artists/83627-danzig,/artists/83627-danzig,Danzig,Danzig,34c4iQ5tkaZKu6Sv28BTde,637034.0,2200000.0
6547,/artists/193382-dapayk-and-padberg,/artists/193382-dapayk-and-padberg,Dapayk & Padberg,Dapayk & Padberg,0CSUa2tToUsyQZYhQPPhyl,12305.0,40000.0
6548,/artists/6089399-dapayk-solo,/artists/6089399-dapayk-solo,Dapayk Solo,Dapayk solo,0vz3JBcXuyp4QefXwtD0Lp,5685.0,54500.0
6549,/artists/3326926-dar-vida,/artists/3326926-dar-vida,Dar Vida,Das Vidas,0rQ321OdCnwSEsHxYCeorz,371.0,8000.0
6550,/artists/206396-daran,/artists/206396-daran,Daran,Daran,02PgZANyX6s8J9Gm2N8sc9,2607.0,23500.0
6551,/artists/38737-dare,/artists/38737-dare,Dare,Dare,25d732T6AtiSKkhWonz5VZ,22764.0,58900.0
6552,/artists/6730789-darell,/artists/6730789-darell,Darell,Darell,1TtXnWcUs0FCkaZDPGYHdf,2395576.0,9000000.0
6553,/artists/4898208-darg-team,/artists/4898208-darg-team,Darg Team,Dark Team,0pyyfdWSYb9zg0uXRTZGng,0.0,3.0
6554,/artists/122938-dario,/artists/122938-dario,Dario,Dario,5KVvADpbG9zljY17HA6ATK,30.0,53700.0
6555,/artists/8922424-dario-dattis,/artists/8922424-dario-dattis,Dario D'Attis,Dario D'Attis,0BSNfFPlI0efsuZljJtknX,9082.0,98900.0
6556,/artists/9854214-dario-la-mazza,/artists/9854214-dario-la-mazza,Dario La Mazza,Dario La Mazza,0KFlFiiFFdtkkbJivQACwf,41.0,247.0
6557,/artists/5389928-dario-napoli,/artists/5389928-dario-napoli,Dario Napoli,Dario Napoli,6uwSwxFCYQTJQMRXYNPqfR,130.0,221.0
6558,/artists/10324-darius,/artists/10324-darius,Darius,Darius,5vfEaoOBcK0Lzr07WN8KaK,124124.0,1300000.0
6559,/artists/8436443-darius-ch,/artists/10324-darius,Darius ,Darius,5vfEaoOBcK0Lzr07WN8KaK,124124.0,1300000.0
6560,/artists/22690-darius-rucker,/artists/22690-darius-rucker,Darius Rucker,Darius Rucker,7FY5V3XMwlNBPitEjXowHQ,2029727.0,5200000.0
6561,/artists/591457-darius-syrossian,/artists/591457-darius-syrossian,Darius Syrossian,Darius Syrossian,6PDUdAoMV9dMy0wOt09Rsf,36673.0,189400.0
6562,/artists/3649971-dark-buddha-rising,/artists/3649971-dark-buddha-rising,Dark Buddha Rising,Dark Buddha Rising,2EW49CsLNnvFVyCdnRgE80,7274.0,1400.0
6563,/artists/637209-dark-castle,/artists/637209-dark-castle,Dark Castle,Dark Castle,4TDdVNFJOqQOL5DD2DNuP5,6109.0,1100.0
6564,/artists/1146839-dark-dark-dark,/artists/1146839-dark-dark-dark,Dark Dark Dark,Dark Dark Dark,3UORxcctdWi6drku1qOrol,49704.0,61500.0
6565,/artists/435270-dark-day-dungeon,/artists/435270-dark-day-dungeon,Dark Day Dungeon,,,,
6566,/artists/8803864-dark-despair,/artists/8803864-dark-despair,Dark Despair,,,,
6567,/artists/92133-dark-fortress,/artists/92133-dark-fortress,Dark Fortress,Dark Fortress,0hiccXRDVXl9sOZ4R7aNry,34041.0,13500.0
6568,/artists/354443-dark-funeral,/artists/354443-dark-funeral,Dark Funeral,Dark Funeral,21ojeH5LNADIGzJKc3hIlE,166380.0,70200.0
6569,/artists/8729859-dark-headz,/artists/8729859-dark-headz,Dark Headz,Dark Headz,0OHJSmjFzDTPQ4sgq2X0JP,67.0,54.0
6570,/artists/378597-dark-horses,/artists/378597-dark-horses,Dark Horses,Dark Horses,2UvHbtpwQIHcuwdzgVIn55,3316.0,4000.0
6571,/artists/10027799-dark-jane,/artists/10027799-dark-jane,Dark Jane,Dark Jane,459FkpDWdcUOJ3wZA4KzSW,75.0,33.0
6572,/artists/8491588-dark-moon-ch,/artists/8491588-dark-moon-ch,Dark Moon ,Dark Moon,5zkVvhEocD5QJzeRvGB3Ks,174.0,9200.0
6573,/artists/8926834-dark-path,/artists/8926834-dark-path,Dark Path,Dark Path,6Aqj3habFISJZEtc5O0aAN,30.0,6.0
6574,/artists/8971049-dark-red-seed,/artists/8971049-dark-red-seed,Dark Red Seed,The Dark Red Seed,4Sbp9zrPfzRxCzlSSgQZcb,432.0,152.0
6575,/artists/3081706-dark-reflexions,/artists/3081706-dark-reflexions,Dark Reflexions,Dark Reflexions,5o0Pfq1zvY3gGa2bCO5Y9T,72.0,6.0
6576,/artists/6756034-dark-rooms-us,/artists/6756034-dark-rooms-us,Dark Rooms ,Dark Rooms,0zkI8Gci7muk180ACGwlxh,17060.0,62600.0
6577,/artists/164400-dark-shadows,/artists/164400-dark-shadows,Dark Shadows,Dark Shadows,1kJiHNnyTpPjBmdYh6YWq0,452.0,7300.0
6578,/artists/8146488-dark-shitler,/artists/8146488-dark-shitler,Dark Shitler,,,,
6579,/artists/9580249-dark-sky-ger,/artists/9580249-dark-sky-ger,Dark Sky ,Dark Sky,1qo9Fb4nYgez0Hpfi2RuiV,30302.0,138100.0
6580,/artists/8131393-dark-space-iii-i-encounter,/artists/8131393-dark-space-iii-i-encounter,Dark Space Iii I Encounter,,,,
6581,/artists/141222-dark-suns,/artists/141222-dark-suns,Dark Suns,Dark Suns,725TVcN9QYnaZiG9VFBT7P,3640.0,980.0
6582,/artists/404541-dark-tranquillity,/artists/404541-dark-tranquillity,Dark Tranquillity,Dark Tranquillity,5EHvXKnNz78jkAVgTQLQ5O,278952.0,260100.0
6583,/artists/9476319-darkade,/artists/44296-darkane,Darkade,Darkane,3K43KRzvjn3z36mHpBYSVb,9794.0,903.0
6584,/artists/44296-darkane,/artists/44296-darkane,Darkane,Darkane,3K43KRzvjn3z36mHpBYSVb,9794.0,903.0
6585,/artists/274833-darkened-nocturn-slaughtercult,/artists/274833-darkened-nocturn-slaughtercult,Darkened Nocturn Slaughtercult,Darkened Nocturn Slaughtercult,17pXjDaTNZzOvwk8ELJm7Q,23353.0,11000.0
6586,/artists/835302-darker-half,/artists/835302-darker-half,Darker Half,Darker Half,0x6eqcxkjmXXVmVGjSO3GS,676.0,182.0
6587,/artists/33960-darker-my-love,/artists/33960-darker-my-love,Darker My Love,Darker My Love,6lNdjatBO3aCJfYYPDKCm6,8582.0,21400.0
6588,/artists/236473-darkest-hour,/artists/236473-darkest-hour,Darkest Hour,Darkest Hour,4dso1lISV1Atdo3O6qbhqq,136797.0,128199.0
6589,/artists/7376589-darkhaus,/artists/7376589-darkhaus,Darkhaus,Darkhaus,641WQSmg3lexnjloE0Encw,6866.0,30500.0
6590,/artists/8486878-darkine,/artists/8486878-darkine,Darkine,Dark9ine,6CL5ophSRpQAembxDDD0RT,36.0,236.0
6591,/artists/8965554-darkminou,/artists/8965554-darkminou,Darkminou,DARKMINDS,6x9iDVRhC7FES7vO6IYepR,749.0,10300.0
