spotify_genre,occurrences
champeta,1
channel islands indie,2
channel pop,4
chanson,152
chanson paillarde,2
chanson quebecois,5
chanson virale,2
chaotic black metal,13
chaotic hardcore,33
chapman stick,3
charanga,1
charango,1
charlotte nc indie,2
charlottesville indie,4
charred death,2
chicago blues,8
chicago bop,2
chicago drill,2
chicago hardcore,3
chicago house,2
chicago indie,24
chicago pop punk,2
chicago punk,11
chicago rap,13
chicano punk,5
chicano rap,8
chicha,6
chihuahua indie,2
children's choir,1
children's music,4
chilean black metal,1
chilean indie,2
chilean metal,3
chilean rock,4
chill lounge,2
chill pop,1
chill r&b,15
chill-out trance,1
chillhop,19
chillstep,6
chillsynth,3
chillwave,98
chinderlieder,31
chinese audiophile,1
chinese classical performance,3
chinese classical piano,4
chinese electronic,2
chinese electropop,1
chinese experimental,1
chinese hip hop,2
chinese indie,2
chinese indie pop,2
chinese indie rock,3
chinese jazz,1
chinese metal,1
chinese post-punk,2
chinese post-rock,1
chinese traditional,2
chinese worship,1
chip hop,9
chiptune,7
chopped and screwed,1
choral,16
choro,2
choro contemporaneo,1
christchurch indie,4
christelijk,3
christian a cappella,1
christian alternative rock,18
christian deathcore,2
christian hardcore,18
christian hip hop,3
christian indie,1
christian metal,23
christian metalcore,9
christian music,14
christian pop,5
christian power metal,8
christian punk,7
christian relaxative,1
christian rock,27
christian thrash metal,1
christian trap,3
christian uplift,1
christlicher rap,3
christmas product,2
cimbalom,1
cinematic post-rock,5
circuit,6
city pop,1
classic afrobeat,1
classic arab pop,3
classic azeri pop,1
classic bangla pop,1
classic belgian pop,1
classic bhangra,1
classic canadian rock,9
classic city pop,2
classic colombian pop,1
classic country pop,4
classic danish pop,1
classic danish rock,1
classic dubstep,30
classic eurovision,1
classic finnish rock,3
classic french pop,17
classic garage rock,9
classic girl group,1
classic greek pop,2
classic greek rock,1
classic hardstyle,38
classic house,8
classic hungarian pop,1
classic icelandic pop,4
classic indo pop,1
classic indonesian rock,1
classic israeli pop,3
classic italian folk pop,1
classic italian pop,54
classic j-pop,3
classic k-pop,3
classic norwegian pop,5
classic pakistani pop,1
classic persian pop,4
classic polish pop,1
classic praise,1
classic progressive house,5
classic rock,158
classic romanian pop,1
classic russian pop,4
classic russian rock,3
classic schlager,50
classic sinhala pop,2
classic soul,8
classic soundtrack,3
classic swedish pop,11
classic thai pop,1
classic uk pop,47
classical,25
classical accordion,3
classical baritone,4
classical bass,4
classical cello,16
classical clarinet,17
classical contralto,1
classical countertenor,4
classical flute,2
classical guitar,2
classical harp,5
classical horn,1
classical jazz fusion,1
classical mandolin,2
classical mezzo-soprano,8
classical oboe,2
classical organ,3
classical percussion,4
classical performance,113
classical piano,45
classical piano trio,1
classical saxophone,1
classical saxophone quartet,2
