spotify_genre,occurrences
svensk indie,1
swamp blues,2
swamp rock,5
swancore,2
swansea indie,3
swedish alternative rock,32
swedish americana,12
swedish black metal,10
swedish blues,4
swedish country,4
swedish dancehall,2
swedish death metal,25
swedish doom metal,22
swedish drill,2
swedish electronic,12
swedish electropop,13
swedish emo,4
swedish eurodance,3
swedish experimental,7
swedish folk pop,2
swedish gangsta rap,4
swedish garage rock,14
swedish grindcore,5
swedish hard rock,31
swedish hardcore,5
swedish heavy metal,9
swedish hip hop,11
swedish house,1
swedish idol pop,2
swedish indie folk,15
swedish indie pop,25
swedish indie rock,20
swedish jazz,34
swedish melodeath,21
swedish melodic rock,14
swedish metal,48
swedish metalcore,10
swedish pop,24
swedish pop punk,1
swedish pop rap,2
swedish post-hardcore,4
swedish post-punk,1
swedish power metal,6
swedish prog,5
swedish progressive metal,8
swedish psychedelic rock,3
swedish punk,2
swedish reggae,3
swedish rockabilly,2
swedish singer-songwriter,24
swedish soul,2
swedish stoner rock,21
swedish synth,4
swedish synthpop,11
swedish techno,12
swedish trap,2
swedish trap pop,6
swedish tropical house,1
swedish underground rap,4
swing,8
swing italiano,2
swing revival,6
swiss alternative rock,40
swiss black metal,18
swiss classical piano,4
swiss country,15
swiss experimental,32
swiss folk,19
swiss hip hop,109
swiss house,24
swiss indie,170
swiss indie folk,46
swiss jazz,55
swiss metal,112
swiss pop,48
swiss punk,70
swiss reggae,31
swiss rock,98
swiss singer-songwriter,44
swiss techno,34
swiss trap,18
swiss worship,3
sydney indie,2
symfonicky orchestr,3
symphonic black metal,24
symphonic death metal,18
symphonic deathcore,11
symphonic melodic death metal,3
symphonic metal,64
symphonic power metal,69
symphonic rock,77
synth funk,6
synth punk,6
synthesizer,3
synthetic classical,1
synthpop,48
synthwave,15
syrian pop,3
t-pop girl group,1
tabla,2
tagalog rap,1
taiko,2
taiwan classical performance,1
taiwan experimental,3
taiwan hip hop,1
taiwan indie,2
taiwan instrumental,1
taiwan metal,1
taiwan pop,1
taiwan rock,1
talent show,8
talentkonkurranse,1
tamaulipas indie,1
tamil hip hop,2
tamil pop,2
tango,9
tango cancion,1
tape club,4
tar,1
tarantella,3
tatar folk,1
tavern,2
tech house,172
tech trance,5
technical black metal,12
technical brutal death metal,25
technical death metal,72
technical deathcore,11
technical grindcore,3
technical groove metal,4
technical melodic death metal,11
technical thrash,14
techno,62
techno argentina,3
techno rave,1
teen pop,2
tejano,1
tekk,5
tekno,5
tempe indie,2
tennessee experimental,2
tennessee hip hop,3
tennessee metal,6
terrorcore,1
tex-mex,1
texas blues,15
texas country,21
texas hardcore,3
texas latin rap,1
texas metal,6
texas pop punk,4
texas punk,9
thai folk,1
thai idol,1
thai indie,1
thai indie pop,2
thai indie rock,3
thai pop,9
thai psychedelic,1
thai rock,3
thai teen pop,2
thall,4
theme,2
theremin,3
thrash core,19
thrash metal,59
thrash-groove metal,3
throat singing,4
tibetan mantra,2
tibetan pop,3
tibetan traditional,2
tijuana electronic,1
tijuana indie,1
timba,6
togolese pop,2
tolkien metal,13
tone,1
toronto indie,19
toronto rap,4
trad quebecois,6
traditional blues,8
traditional british folk,8
traditional english folk,3
traditional funk,1
traditional reggae,1
traditional scottish folk,2
traditional ska,28
trance,32
trance brasileiro,6
trance mexicano,2
trancecore,26
transpop,10
trap,54
trap antillais,3
trap argentino,1
trap boricua,1
trap brasileiro,2
trap dominicano,1
trap funk,1
trap italiana,4
trap latino,25
trap pesado,1
trap queen,11
trap soul,8
trap triste,1
traprun,3
trash rock,14
triangle indie,3
tribal house,17
tribute,4
trinidadian reggae,1
trip hop,62
trondersk musikk,2
trondheim indie,1
tropical,19
tropical alternativo,4
tropical house,144
tropicalia,4
trova,1
truck-driving country,1
tuareg guitar,9
tucson indie,11
tulsa indie,1
tunisian pop,1
turbo folk,11
turin indie,3
turkish alt pop,1
turkish alternative rock,2
turkish black metal,2
turkish death metal,3
turkish edm,1
turkish electronic,2
turkish experimental,1
turkish folk,4
turkish hip hop,6
turkish instrumental,3
turkish jazz,10
turkish metal,5
turkish modern jazz,2
turkish pop,11
turkish post-punk,1
turkish psych,5
turkish punk,1
turkish reggae,1
turkish rock,4
turkish singer-songwriter,2
turkish trap,4
turkish trap pop,8
turntablism,80
tuvan folk,2
twee indie pop,1
twee pop,6
twoubadou,1
tzadik,17
uae indie,2
ugandan pop,1
uilleann pipes,2
uk alternative hip hop,16
uk alternative pop,23
uk americana,20
uk beatdown,5
uk contemporary jazz,19
uk contemporary r&b,20
uk dance,23
uk dancehall,5
uk diy punk,10
uk dnb,24
uk doom metal,20
uk drill,1
uk dub,6
uk experimental electronic,26
uk funky,6
uk garage,7
uk hip hop,18
uk house,17
uk metalcore,25
uk noise rock,13
uk pop,44
uk pop punk,14
uk post-hardcore,22
uk post-metal,6
uk post-punk,20
uk post-punk revival,8
uk reggae,13
uk rockabilly,2
uk stoner rock,4
uk tech house,13
uk worship,4
uk82,15
ukg revival,5
ukhc,7
ukrainian black metal,1
ukrainian classical piano,2
ukrainian electronic,8
ukrainian experimental,7
ukrainian folk,2
ukrainian hip hop,1
ukrainian indie,1
ukrainian metal,2
ukrainian pop,4
ukrainian rock,5
ukulele,2
umea hardcore,1
umea indie,1
unblack metal,4
underground boom bap,2
underground hip hop,62
underground power pop,5
underground rap,48
uplifting trance,32
uppsala indie,3
uptempo hardcore,33
urban contemporary,57
uruguayan indie,1
us power metal,13
usbm,13
utah metal,4
uzbek pop,2
v-pop,2
vallenato,1
vallenato moderno,1
vancouver indie,24
vancouver metal,8
vancouver punk,22
vapor house,2
vapor pop,8
vapor soul,58
vapor trap,20
vapor twitch,51
vaporwave,8
variete francaise,13
varmland rock,5
vegan straight edge,12
vegas indie,3
velha guarda,3
venezuelan hip hop,1
venezuelan indie,1
venezuelan rock,1
vermont indie,6
vgm remix,1
victoria bc indie,6
video game music,5
vienna indie,28
vietnamese bolero,1
vietnamese pop,2
viking black metal,8
viking folk,5
viking metal,45
vintage french electronic,5
vintage italian soundtrack,2
vintage schlager,1
viola,4
viola da gamba,1
violao,3
violin,29
viral pop,30
viral pop brasileiro,1
viral rap,4
viral trap,1
virgin islands reggae,2
virginia hip hop,4
virginia indie,1
virginia metal,11
virginia punk,10
visual kei,8
vlaamse rap,1
vocal ensemble,4
vocal house,33
vocal jazz,57
vocal trance,1
vocaloid,3
vogue,13
voidgaze,57
voidgrind,15
volksmusik,38
volkspop,19
volkstumliche musik,1
wagnerian singing,1
war metal,6
warm drone,5
warrington indie,2
washboard,1
washington indie,4
wassoulou,5
wave,2
weightless,9
weirdcore,1
wellington indie,7
welsh hip hop,2
welsh indie,11
welsh metal,5
welsh rock,13
west african jazz,1
west coast rap,11
west coast trap,3
west virginia indie,3
west virginia metal,1
west yorkshire indie,1
western americana,8
western mass indie,5
western saharan folk,5
western swing,1
white noise,2
wind ensemble,2
windsor on indie,1
winnipeg hip hop,1
wisconsin indie,3
wisconsin metal,1
witch house,5
women's choir,2
women's music,5
wonky,49
worcester ma indie,3
workout product,1
world,81
world devotional,5
world fusion,16
world meditation,2
world worship,9
worship,14
wrestling,10
wu fam,3
wyoming indie,1
xhosa,1
xtra raw,3
yacht rock,17
ye ye,9
yemeni pop,2
yoik,1
york indie,3
yorkshire folk,2
youth orchestra,1
yugoslav new wave,1
yugoslav rock,16
zambian hip hop,1
zenonesque,3
zeuhl,2
zillertal,6
zim urban groove,3
zolo,18
zouk,5
zurich indie,43
