spotify_genre,occurrences
chopped and screwed,2
choral,17
choro,2
choro contemporaneo,1
christchurch indie,4
christelijk,3
christian a cappella,2
christian alternative rock,19
christian deathcore,2
christian hardcore,16
christian indie,1
christian metal,25
christian metalcore,9
christian music,14
christian pop,2
christian power metal,9
christian punk,9
christian relaxative,1
christian rock,31
christian uplift,1
christlicher rap,3
christmas product,1
cimbalom,1
cinematic post-rock,5
circuit,6
city pop,1
classic afrobeat,1
classic arab pop,3
classic azeri pop,1
classic bangla pop,1
classic belgian pop,2
classic bhangra,1
classic canadian rock,9
classic city pop,2
classic colombian pop,1
classic country pop,4
classic czech pop,1
classic danish pop,3
classic danish rock,1
classic dubstep,29
classic eurovision,1
classic finnish rock,3
classic french pop,18
classic garage rock,8
classic girl group,1
classic greek pop,2
classic greek rock,1
classic hardstyle,40
classic house,7
classic icelandic pop,4
classic indo pop,1
classic indonesian rock,1
classic israeli pop,3
classic italian folk pop,1
classic italian pop,53
classic j-pop,1
classic k-pop,1
classic norwegian pop,6
classic opm,1
classic pakistani pop,1
classic persian pop,4
classic polish pop,1
classic praise,1
classic progressive house,4
classic rock,158
classic romanian pop,1
classic russian pop,3
classic russian rock,3
classic schlager,52
classic sinhala pop,1
classic soul,8
classic soundtrack,3
classic swedish pop,11
classic uk pop,9
classical,23
classical accordion,3
classical baritone,5
classical bass,3
classical cello,16
classical clarinet,17
classical contralto,1
classical countertenor,4
classical flute,2
classical guitar,3
classical harp,5
classical horn,1
classical jazz fusion,1
classical mandolin,2
classical mezzo-soprano,7
classical oboe,2
classical organ,3
classical percussion,4
classical performance,113
classical piano,45
classical piano trio,1
classical saxophone,1
classical saxophone quartet,2
classical soprano,26
classical tenor,10
classical trombone,1
classical trumpet,9
classify,3
cleveland indie,1
cleveland metal,4
coldwave,1
collage pop,4
cologne electronic,15
cologne hip hop,5
cologne indie,21
colombian black metal,2
colombian hip hop,1
colombian indie,2
colombian pop,5
colombian rock,5
columbus ohio indie,2
combos nacionales,1
comedy,3
comedy rap,1
comedy rock,1
comic,21
comic metal,22
commons,5
complextro,26
compositional ambient,58
comptine africaine,1
concertina,2
connecticut hardcore,3
conscious hip hop,50
contemporary classical,7
contemporary classical piano,1
contemporary country,23
contemporary jazz,138
contemporary post-bop,30
contemporary vocal jazz,51
cook islands pop,1
cool jazz,33
cork indie,2
cornish folk,1
cornwall indie,3
corrido,1
corrosion,13
corsican folk,2
cosmic american,1
cosmic black metal,7
cosmic death metal,8
cosmic post-rock,5
country,31
country blues,10
country dawn,8
country pop,18
country quebecois,6
country rap,3
country road,20
country rock,87
coupe-decale,1
coverchill,2
covertrance,2
cowboy western,2
cowpunk,9
crack rock steady,1
croatian electronic,2
croatian hip hop,1
croatian indie,8
croatian metal,2
croatian pop,6
croatian rock,3
crossover prog,2
crossover thrash,26
crunk,3
crust punk,19
cryptic black metal,1
cuarteto,2
cuatro venezolano,1
cuban alternative,6
cuban rumba,2
cubaton,3
cumbia,2
cumbia chilena,2
cumbia colombiana regia,1
cumbia peruana,1
cumbia pop,4
cumbia ranchera,1
cumbia sonorense,1
cumbia villera,5
cyber metal,12
cybergrind,3
cyberpunk,15
czech classical piano,1
czech electronic,2
czech folk,1
czech hip hop,1
czech indie,3
czech metal,5
czech pop,4
czech pop rock,2
czech punk,3
czech rock,4
czech singer-songwriter,1
czsk black metal,2
czsk hip hop,5
czsk reggae,1
d-beat,6
dabke,2
dainuojamoji poezija,1
dalarna indie,1
dance pop,247
dance rock,33
dance-punk,46
dancefloor dnb,20
dancehall,58
danish alternative rock,27
danish black metal,5
danish death metal,8
danish electro,2
danish electronic,10
danish electropop,14
danish experimental,3
danish folk,2
danish hardcore,2
danish hip hop,6
danish indie,7
danish indie pop,11
danish jazz,5
danish metal,24
danish modern jazz,4
danish pop,17
danish pop rock,4
danish post-punk,4
danish punk,2
danish rock,15
danish singer-songwriter,2
danish techno,6
dansband,3
danseband,1
dansktop,1
danspunk,2
darbuka,2
dark ambient,6
dark black metal,38
dark cabaret,19
dark clubbing,18
dark disco,11
dark electro,33
dark folk,2
dark hardcore,8
dark jazz,29
dark minimal techno,4
dark post-punk,39
dark psytrance,3
dark rock,23
dark techno,31
dark trap,17
dark wave,59
darkstep,23
darksynth,6
dayton indie,3
dc hardcore,4
dc indie,1
death 'n' roll,5
death doom,7
death industrial,5
death metal,127
deathcore,86
deathgrass,11
deathgrind,30
deathrash,17
deathrock,12
deathstep,8
deconstructed club,35
deep acoustic pop,5
deep big room,2
deep breakcore,2
deep ccm,1
deep chill-out,1
deep christian rock,2
deep classic garage rock,1
deep comedy,2
deep dance pop,5
deep darkpsy,1
deep deep house,3
deep disco house,39
deep discofox,1
deep dnb,10
deep dubstep,16
deep east coast hip hop,2
deep euro house,50
deep flow,1
deep folk metal,16
deep funk,4
deep german hip hop,49
deep german indie,6
deep german punk,17
deep gothic post-punk,15
deep groove house,25
deep hardcore,2
deep house,67
deep idm,16
deep indie pop,3
deep indie rock,1
deep indie singer-songwriter,4
deep italo disco,1
deep jazz fusion,1
deep latin alternative,2
deep latin christian,1
deep latin jazz,1
deep liquid,2
deep liquid bass,7
deep melodic death metal,10
deep melodic hard rock,6
deep melodic metalcore,7
deep metalcore,1
deep minimal techno,29
deep motown,1
deep new americana,54
deep pop edm,2
deep pop emo,1
deep power-pop punk,3
deep progressive rock,4
deep psychobilly,5
deep rai,1
deep regional mexican,1
deep soft rock,1
deep soul house,12
deep southern trap,1
deep space rock,3
deep surf music,2
deep swedish rock,2
deep talent show,1
deep tech house,11
deep techno,12
deep tropical house,23
deep turkish pop,2
deep underground hip hop,6
deep uplifting trance,3
delaware indie,1
dembow,2
demoscene,1
denton tx indie,10
denver indie,2
denver metal,6
depressive black metal,6
derby indie,4
derry indie,3
desert blues,16
desi hip hop,2
desi pop,3
destroy techno,22
detroit hip hop,11
detroit house,12
detroit indie,4
detroit rock,11
detroit techno,19
deutschrock,46
devon indie,7
dfw rap,1
didgeridoo,4
digital hardcore,10
dinner jazz,1
dirty south rap,10
dirty texas rap,4
disco,24
disco house,58
disco polo,4
discofox,26
disney,2
disney espanol,1
dissonant death metal,12
diva house,6
dixieland,2
diy emo,8
