,spotify_genre,top_genre
2314,german alternative rock,rock music
2315,german black metal,world music
2316,german black metal,rock music
2317,german blues,blues
2318,german boom bap,world music
2319,german boom bap,hip hop music
2320,german ccm,pop music
2321,german choir,vocal music
2322,german classical piano,art music
2323,german cloud rap,world music
2324,german cloud rap,hip hop music
2325,german contemporary classical,art music
2326,german contemporary classical,pop music
2327,german country,world music
2328,german country,country music
2329,german dance,dance music
2330,german dark minimal techno,experimental music
2331,german dark minimal techno,dance music
2332,german dark minimal techno,electronic music
2333,german death metal,rock music
2334,german dnb,electronic music
2335,german drill,world music
2336,german drill,hip hop music
2337,german electronica,electronic music
2338,german grindcore,rock music
2339,german hard rock,rock music
2340,german hardcore,dance music
2341,german hardcore,electronic music
2342,german hardcore,rock music
2343,german heavy metal,rock music
2344,german hip hop,world music
2345,german hip hop,hip hop music
2346,german house,dance music
2347,german house,electronic music
2348,german indie,rock music
2349,german indie folk,folk music
2350,german indie folk,world music
2351,german indie folk,independent music
2352,german indie pop,pop music
2353,german indie pop,rock music
2354,german indie pop,independent music
2355,german indie rock,rock music
2356,german indie rock,independent music
2357,german jazz,jazz
2358,german jazz,world music
2359,german jazz rap,jazz
2360,german jazz rap,world music
2361,german jazz rap,hip hop music
2362,german melodeath,rock music
2363,german metal,rock music
2364,german metalcore,rock music
2365,german oi,rock music
2366,german orchestra,art music
2367,german pagan metal,rock music
2368,german pop,pop music
2369,german pop rock,pop music
2370,german pop rock,rock music
2371,german post-hardcore,experimental music
2372,german post-hardcore,electronic music
2373,german post-hardcore,dance music
2374,german post-hardcore,rock music
2375,german post-punk,rock music
2376,german post-rock,experimental music
2377,german post-rock,rock music
2378,german power metal,rock music
2379,german prog,rock music
2380,german punk,world music
2381,german punk,rock music
2382,german punk rock,world music
2383,german punk rock,rock music
2384,german r&b,rhythm and blues
2385,german reggae,world music
2386,german rock,world music
2387,german rock,rock music
2388,german rockabilly,rock music
2389,german shoegaze,rock music
2390,german show tunes,pop music
2391,german singer-songwriter,vocal music
2392,german singer-songwriter,acoustic music
2393,german ska,world music
2394,german soundtrack,functional music
2395,german stoner rock,rock music
2396,german street punk,pop music
2397,german street punk,rock music
2398,german tech house,dance music
2399,german tech house,electronic music
2400,german techno,electronic music
2401,german thrash metal,rock music
2402,german trance,dance music
2403,german trance,electronic music
2404,german trap,world music
2405,german trap,hip hop music
2406,german underground rap,world music
2407,german underground rap,independent music
2408,german underground rap,hip hop music
2409,german underground rap,underground music
2410,german viral rap,world music
2411,german viral rap,hip hop music
2412,german worship,pop music
2413,ghanaian alternative,rock music
2414,ghanaian hip hop,world music
2415,ghanaian hip hop,hip hop music
2416,ghanaian pop,pop music
2417,ghent indie,rock music
2418,ghettotech,dance music
2419,ghettotech,electronic music
2420,girl group,pop music
2421,girl group,rock music
2422,girl group,rhythm and blues
2423,glam metal,rock music
2424,glam punk,rock music
2425,glam rock,rock music
2426,glasgow indie,rock music
2427,glasgow indie,independent music
2428,glitch,experimental music
2429,glitch,electronic music
2430,glitch beats,experimental music
2431,glitch beats,electronic music
2432,glitch hop,experimental music
2433,glitch hop,world music
2434,glitch hop,hip hop music
2435,glitch hop,electronic music
2436,glitch hop,dance music
2437,glitch pop,pop music
2438,glitchcore,world music
2439,glitchcore,hip hop music
2440,gnawa,folk music
2441,gnawa,world music
2442,golden age hip hop,world music
2443,golden age hip hop,hip hop music
2444,goregrind,rock music
2445,gospel,functional music
2446,gospel,world music
2447,gospel rap,functional music
2448,gospel rap,world music
2449,gospel rap,hip hop music
2450,gospel reggae,functional music
2451,gospel reggae,world music
2452,gospel singers,functional music
2453,gospel singers,world music
2454,gothabilly,rock music
2455,gothenburg indie,rock music
2456,gothenburg metal,rock music
2457,gothic alternative,rock music
2458,gothic americana,world music
2459,gothic americana,rock music
2460,gothic americana,country music
2461,gothic black metal,world music
2462,gothic black metal,rock music
2463,gothic doom,rock music
2464,gothic metal,rock music
2465,gothic post-punk,rock music
2466,gothic rock,rock music
2467,gothic symphonic metal,rock music
2468,gothic symphonic metal,instrumental music
2469,gqom,dance music
2470,gqom,electronic music
2471,granada indie,world music
2472,granada indie,rock music
2473,granada indie,independent music
2474,grand rapids indie,rock music
2475,grave wave,electronic music
2476,grave wave,world music
2477,grave wave,hip hop music
2478,graz indie,rock music
2479,grebo,dance music
2480,grebo,rock music
2481,greek black metal,world music
2482,greek black metal,rock music
2483,greek downtempo,electronic music
2484,greek guitar,acoustic music
2485,greek hip hop,world music
2486,greek hip hop,hip hop music
2487,greek house,dance music
2488,greek house,electronic music
2489,greek indie,pop music
2490,greek indie rock,rock music
2491,greek indie rock,independent music
2492,greek jazz,jazz
2493,greek metal,rock music
2494,greek pop,pop music
2495,greek psychedelic rock,rock music
2496,greek rock,world music
2497,greek rock,rock music
2498,greek swing,jazz
2499,greek techno,dance music
2500,greek techno,electronic music
2501,greek trap,world music
2502,greek trap,hip hop music
2503,greenlandic pop,pop music
2504,grim death metal,rock music
2505,grime,electronic music
2506,grimewave,electronic music
2507,grindcore,rock music
