,word,counter,occurrences,manual,genres
85,boliviano,1,1,,['indie boliviano']
86,africaine,1,1,children’s music,['comptine africaine']
87,kong,1,1,,['hong kong indie']
88,hong,1,1,,['hong kong indie']
89,ccb,1,1,functional music,['hinos ccb']
90,hinos,1,1,,['hinos ccb']
91,dakke,1,1,electronic music,['dakke dak']
92,guqin,1,1,instrumental music,['guqin']
93,galway,1,1,,['galway indie']
94,fotbollslatar,1,1,functional music,['fotbollslatar']
95,portugues,1,1,,['folclore portugues']
96,folclore,1,1,folk music,['folclore portugues']
97,dak,1,1,,['dakke dak']
98,darbuka,1,1,world music,['darbuka']
99,discofox,1,1,electronic music,['deep discofox']
100,focus,1,1,,['focus beats']
101,flow,1,1,electronic music,['deep flow']
102,finlandssvenska,1,1,world music,['finlandssvenska musik']
103,demoscene,1,1,nerd music,['demoscene']
104,cordoba,1,1,,['indie cordoba']
105,liguria,1,1,,['indie liguria']
106,comptine,1,1,children’s music,['comptine africaine']
107,classic,1,1,pop music,['classic eurovision']
108,louvor,1,1,functional music,['louvor']
109,limerick,1,1,functional music,['limerick indie']
110,argentina,1,1,folk music,['cantautora argentina']
111,sunda,1,1,,['lagu sunda']
112,iban,1,1,world music,['lagu iban']
113,audiophile,1,1,art music,['chinese audiophile']
114,kollywood,1,1,world music,['kollywood']
115,cimbalom,1,1,instrumental music,['cimbalom']
116,eurovision,1,1,,['classic eurovision']
117,nacionales,1,1,folk music,['combos nacionales']
118,roots,1,1,country music,['kentucky roots']
119,kansai,1,1,,['kansai indie']
120,jugendchor,1,1,vocal music,['jugendchor']
121,vtuber,1,1,world music,['japanese vtuber']
122,j-division,1,1,world music,['j-division']
123,italo,1,1,,['italo beats']
124,afrikaans,1,1,world music,['afrikaans']
125,combos,1,1,world music,['combos nacionales']
126,product,1,1,functional music,['workout product']
