,artist_name,spotify_name,spotify_id,spotify_similarity,spotify_popularity
/artists/2376646-and-many-others,And Many Others,,,,
/artists/8936099-anderson-paak-and-the-free-nationals,Anderson .Paak & The Free Nationals,,,,
/artists/9302714-andra-borlo-and-band,Andra Borlo & Band,,,,
/artists/5089453-andrea-frisina-it,Andrea Frisina It,,,,
/artists/8022473-andrea-kirchhofer,Andrea Kirchhofer,,,,
/artists/7961323-andreas-thiel-macht,Andreas Thiel Macht,,,,
/artists/9841529-andreas-und-michael-winkler,Andreas und Michael Winkler,,,,
/artists/2499801-andy-c-and-mc-gq,Andy C & Mc Gq,,,,
/artists/10128482-andy-carlos-aegerter,Andy Carlos Aegerter,,,,
/artists/9937224-andy-kalberer,Andy Kalberer,,,,
/artists/7397234-andy-mc-sean,Andy Mc Sean,,,,
/artists/7548789-andy-mcghee,Andy McGhee,,,,
/artists/806253-anemonen-entertainment,Anemonen Entertainment,,,,
/artists/3132196-anet-corti,Anet Corti,,,,
/artists/7958368-angello-gallo,Angello Gallo,,,,
/artists/8332473-angelo-pintus,Angelo Pintus,,,,
/artists/5137673-angerfist-live-nl,Angerfist Live Nl,,,,
/artists/5629139-angry-bastard,Angry Bastard,,,,
/artists/7296594-anica-defuns,Anica Defuns,,,,
/artists/10102777-ankebock,Ankebock,,,,
/artists/8956349-anna-and-stoffner-mit-kunzi,Anna & Stoffner mit Künzi,,,,
/artists/8249798-another-ox,Another ox,,,,
/artists/9454369-anthems-for-a-dying-day,Anthems for a Dying Day,,,,
/artists/7800534-antioche-kirm-and-francis-fruit,Antioche Kirm & Francis Fruit,,,,
/artists/9496104-antoine-boyer-and-samuelito,Antoine Boyer & Samuelito,,,,
/artists/3213561-anton-sword-and-the-we-ours,Anton Sword and the We Ours,,,,
/artists/10118031-antonio-albanello,Antonio Albanello,,,,
/artists/3631141-antonio-farao-trio,Antonio Farao Trio,,,,
/artists/4454833-antonio-munoz-molina,Antonio Muñoz Molina,,,,
/artists/2345721-antonio-sanchez-and-migration,Antonio Sanchez & Migration,,,,
/artists/3081306-antz-in-the-pantz,Antz in the Pantz,,,,
/artists/3184066-aphte-punk,Aphte Punk,,,,
/artists/7118499-apollonia-dyed-soundorom-dan-ghenacia-and-shonky,"Apollonia (Dyed Soundorom, Dan Ghenacia & Shonky)",,,,
/artists/7353084-arabiy-habibi,Arabiy Habibi,,,,
/artists/4091786-archive-mit-sinfonieorchester-camerata-schweiz,Archive Mit Sinfonieorchester Camerata Schweiz,,,,
/artists/7357714-arctos-staphylos,Arctos Staphylos,,,,
/artists/9758759-arena-double-vision-tour-2019,Arena - Double Vision Tour 2019,,,,
/artists/7619974-aris-1201,Aris 1201,,,,
/artists/7224644-aristid-was-a-jerk,Aristid Was A Jerk,,,,
/artists/9384329-arkansas-dave,Arkansas Dave,,,,
/artists/7858809-arnaud-renaville,Arnaud Renaville,,,,
/artists/1048226-arno-cost-and-arias,Arno Cost & Arias,,,,
/artists/7284794-arno-de-cea-and-the-clockword-wizards,Arno de Cea & the Clockword Wizards,,,,
/artists/5053278-arnon-grunberg,Arnon Grünberg,,,,
/artists/9708099-arrive-ch,Arrive CH,,,,
/artists/8683899-arsenal-fecal,Arsenal fecal,,,,
/artists/8168378-art-basel-salts,Art Basel - SALTS,,,,
/artists/8512848-art-deco-records,Art Deco Records,,,,
/artists/7192984-art-on-ice,Art on Ice,,,,
/artists/2696391-arthur-h-solo,Arthur H Solo,,,,
/artists/7728224-arthur-yuri-member,"Arthur, Yuri Member",,,,
/artists/3081311-artist-in-residence,Artist in Residence,,,,
/artists/7206004-artjom-ursulan,Artjom Ursulan,,,,
/artists/7827954-arushi-mudgal,Arushi Mudgal,,,,
/artists/3433566-ary-abittan,Ary Abittan,,,,
/artists/2393562-asaf-avidan-and-the-mojos,Asaf Avidan & The Mojos,,,,
/artists/4123286-asher-roth-and-nottz,Asher Roth & Nottz,,,,
/artists/1894460-asher-selector,Asher Selector,,,,
/artists/208345-aside-from-a-day,Aside From A Day,,,,
/artists/8340643-askemwhy,Askemwhy,,,,
/artists/4317461-asmin-sextet,Asmin Sextet,,,,
/artists/3563991-ass-of-spade,Ass of Spade,,,,
/artists/3462001-ass-of-spades,Ass of Spades,,,,
/artists/10016219-assassins-creed-symphony,Assassin's Creed Symphony,,,,
/artists/6710984-asteroid-beach,Asteroid Beach,,,,
/artists/2676636-astillero-tango,Astillero Tango,,,,
/artists/4087531-atlantic-attraction,Atlantic Attraction,,,,
/artists/7105964-atlantik-sisyphon-berlin,Atlantik (Sisyphon / Berlin),,,,
/artists/5406078-atlas-crocodile,Atlas Crocodile,,,,
/artists/8849754-atlas-and-axis,Atlas&Axis,,,,
/artists/4657088-atomic-paracelze,Atomic Paracelze,,,,
/artists/7935143-attempt-to-reach,Attempt to Reach,,,,
/artists/8038293-au-theatre-de-la-voirie,Au Théâtre de la Voirie,,,,
/artists/7927768-audite-africam,Audite Africam,,,,
/artists/8935439-audrey-la-delfa,Audrey la Delfa,,,,
/artists/7482944-auf-dauerwelle,Auf Dauerwelle,,,,
/artists/4584008-austin-lucas-and-the-bold-party,Austin Lucas & the Bold Party,,,,
/artists/10111192-austro-und-deutschpop,Austro- und Deutschpop,,,,
/artists/2673186-ausverkauft,Ausverkauft,,,,
/artists/3388021-avenue-six-left,Avenue Six Left,,,,
/artists/8142183-aviator-layover-party-istanbul,Aviator Layover Party Istanbul,,,,
/artists/8898374-avishai-cohen-duo,Avishai Cohen Duo,,,,
/artists/3775096-avishai-cohen-quartet,Avishai Cohen Quartet,,,,
/artists/3904381-avishai-cohen-seven-seas,Avishai Cohen Seven Seas,,,,
/artists/5774029-avital-meets-avital,Avital Meets Avital,,,,
/artists/5872839-avo-session-basel-2012,Avo Session Basel 2012,,,,
/artists/2403593-awesome-tapes-from-africa,Awesome Tapes From Africa,,,,
/artists/9602039-b-and-w-chocolate-howlers,B&W Chocolate Howlers,,,,
/artists/9754809-bbk-lbr,BBK lbr,,,,
/artists/8397573-blackberry-and-mr-boohoo,BLACKBERRY & MR BOO-HOO,,,,
/artists/1469904-blood-runs-deep,BLOOD RUNS DEEP,,,,
/artists/7746594-brian-brainstorm-bassliebe-mixnblen-koln,BRIAN BRAINSTORM (Bassliebe / Mix’n’Blen / Köln),,,,
/artists/9622824-baba-roga-band,Baba Roga Band,,,,
/artists/5261828-babel-music-agency,Babel Music Agency,,,,
/artists/7218839-babelsprech-live,Babelsprech Live,,,,
/artists/7206104-babelsprech-live-junge-deutschsprachige-dichtung-aus-drei-nationen,Babelsprech Live Junge Deutschsprachige Dichtung Aus Drei Nationen,,,,
/artists/8137308-back-2-school-part-ii,Back 2 School Part Ii,,,,
/artists/3028226-back-inna-days-5,Back Inna Days 5,,,,
/artists/9872464-bad-ass-romance,Bad Ass Romance,,,,
/artists/3797841-bad-taste-party,Bad Taste Party,,,,
/artists/4994658-bad-taste-poardy,Bad Taste Poardy,,,,
/artists/8779019-bad-yard-sound,Bad Yard Sound,,,,
/artists/7664779-bagheera-deville,Bagheera Deville,,,,
/artists/9764549-bait-jaffe-klezmer-orchester,Bait Jaffe Klezmer Orchester,,,,
/artists/8522838-baked-cherry,Baked Cherry,,,,
/artists/8072228-baleinev-2014,Baleinev 2014,,,,
/artists/3612956-balkanekspress,Balkanekspress,,,,
/artists/3122376-balkankaravan,Balkankaravan,,,,
/artists/7261834-balkankaravan-and-culturescapes,Balkankaravan & Culturescapes,,,,
/artists/4926128-balkankaravan-musique-en-route,Balkankaravan Musique En Route,,,,
/artists/4915353-balkankaravan-rundek-cargo-trio,Balkankaravan Rundek Cargo Trio,,,,
/artists/7320954-baloise-session,Baloise Session,,,,
/artists/9794499-bamert-tschopp-duo,Bamert Tschopp Duo,,,,
/artists/10149324-bamis-bonebook,Bami's Bonebook,,,,
/artists/9327234-band-goes-wild,Band Goes Wild,,,,
/artists/6822759-band-playing-classic-jethro-tull,Band Playing Classic Jethro Tull,,,,
/artists/9063479-bandhorace,BandHorace,,,,
/artists/10088762-bands-in-concert,Bands in Concert,,,,
/artists/5028263-bar25-zu-gast-im-tanzsalon,Bar25 Zu Gast Im Tanzsalon,,,,
/artists/352680-barbara-morgenstern-and-robert-lippok,Barbara Morgenstern & Robert Lippok,,,,
/artists/303439-barclay-james-harvest-featuring-les-holroyd,Barclay James Harvest Featuring Les Holroyd,,,,
/artists/7097259-barfussbar,Barfussbar,,,,
/artists/8190468-barney-millah,Barney Millah,,,,
/artists/8978394-barock-the-true-sound-of-acdc,Barock - The True Sound of AC/DC,,,,
/artists/10162879-baronnes-underground,Baronnes Underground,,,,
/artists/7462299-baseball-bat-boogie-bastards,Baseball Bat Boogie Bastards,,,,
/artists/4591968-bass-palais,Bass Palais,,,,
/artists/4788408-batsheva-dance-company,Batsheva Dance Company,,,,
/artists/3053671-battle-of-the-year,Battle of the Year,,,,
/artists/3701776-baze-and-band,Baze & Band,,,,
/artists/4832998-bazzle-classixx,Bazzle Classixx,,,,
/artists/9613674-belus-collection,BeLus Collection,,,,
/artists/3475996-beat-bag-bohemia,Beat Bag Bohemia,,,,
/artists/5846614-beat-dictator-crew,Beat Dictator Crew,,,,
/artists/7504454-beat-keller-and-reza-khota,Beat Keller & Reza Khota,,,,
/artists/9155359-beat-und-ernesto,Beat und Ernesto,,,,
/artists/9761324-beata-bereuter-and-tidbis,Beata Bereuter & Tidbi!s,,,,
/artists/9136214-beatles-reloaded,Beatles reloaded,,,,
/artists/57491-beatplanet,Beatplanet,,,,
/artists/5465638-beats-rhymes-and-life,"Beats, Rhymes & Life",,,,
/artists/10133877-becky-6-the-gents,Becky 6 The Gents,,,,
/artists/9578924-bee-appleseed-and-the-cosmic-family,Bee Appleseed & The Cosmic Family,,,,
/artists/2550171-beggar-joe,Beggar Joe,,,,
/artists/3396091-beginner-soundsystem,Beginner Soundsystem,,,,
/artists/3622116-being-ed,Being Ed,,,,
/artists/7868804-beizen-dienstag,Beizen Dienstag,,,,
/artists/8131338-beizen-donnerstag,Beizen Donnerstag,,,,
/artists/7868809-beizen-mittwoch,Beizen Mittwoch,,,,
/artists/7969898-bela-balint-big-band,Bela Balint Big Band,,,,
/artists/8792949-belief-straight-edge,Belief (Straight Edge),,,,
/artists/9655399-bella-and-the-awesomebleu,Bella & the Awesomebleu,,,,
/artists/6133064-bella-sarris,Bella Sarris,,,,
/artists/5294653-beloccahun,Belocca-hun,,,,
/artists/4645388-ben-caplan-and-the-casual-smokers,Ben Caplan & the Casual Smokers,,,,
/artists/6368109-ben-harper-and-charlie-musselwhite,Ben Harper and Charlie Musselwhite,,,,
/artists/5011893-ben-hereth,Ben Hereth,,,,
/artists/7966778-benedict-rubinstein,Benedict Rubinstein,,,,
/artists/9632379-benefizkonzert-mit-der-nostalgie-swingers-big-band,Benefizkonzert mit der Nostalgie Swingers Big Band,,,,
/artists/3076416-benot-domus,Benot Domus,,,,
/artists/7382174-benz-w123,Benz W123,,,,
/artists/10031719-bergerausch,Bergerausch,,,,
/artists/248008-bernard-allison-group,Bernard Allison Group,,,,
/artists/3261821-bernewitz-trio,Bernewitz Trio,,,,
/artists/2793156-bernie-marsden-plays-rory-gallagher,Bernie Marsden Plays Rory Gallagher,,,,
/artists/10124433-bert-de-kort,Bert de Kort,,,,
/artists/3803001-bertrand-belin-et-kassette,Bertrand Belin Et Kassette,,,,
/artists/7382049-bessa-myftiu,Bessa Myftiu,,,,
/artists/7422289-best-german-jazz,Best German Jazz,,,,
